speaker,occupation,introduction,profile,Gender_auto,MaleScore,FemaleScore,NonBinaryScore,Gender_handcheck
Cameron Sinclair,"Co-founder, Architecture for Humanity","2006 TED Prize winner Cameron Sinclair is co-founder of Architecture for Humanity, a nonprofit that seeks architecture solutions to global crises — and acts as a conduit between the design community and the world's humanitarian needs.","Why you should listen
After training as an architect, Cameron Sinclair (then age 24) joined Kate Stohr to found Architecture for Humanity, a nonprofit that helps architects apply their skills to humanitarian efforts. Starting with just $700 and a simple web site in 1999, AFH  has grown into an international hub for humanitarian design, offering innovative solutions to housing problems in all corners of the globe. Whether rebuilding earthquake-ravaged Bam in Iran, designing a soccer field doubling as an HIV/AIDS clinic in Africa, housing refugees on the Afghan border, or helping Katrina victims rebuild, Architecture for Humanity  works by Sinclair's mantra: ""Design like you give a damn."" (Sinclair and Stohr cowrote a book  by the same name, released in 2006.) A regular contributor to the sustainability blog Worldchanging.com, Sinclair is now working on the Open Architecture Network, born from the wish he made when he accepted the 2006 TED Prize: to build a global, open-source network where architects, governments and NGOs can share and implement design plans to house the world.
What others say

“Cameron Sinclair is doing his best to save the world, one emergency shelter and mobile AIDS clinic at a time.” — Washington Post",male,3.0,0.0,1.0,male
Jehane Noujaim,Filmmaker,TED Prize winner Jehane Noujaim is a gutsy filmmaker whose astonishing documentaries reveal the triumphs and hardships of courageous individuals. ,"Why you should listen
Two weeks before the US invaded Iraq in 2003, Jehane Noujaim gained access to both Al Jazeera  and the US military's Central Command offices in Qatar. By being in the right place at that very wrong time, she caught the onset and outbreak of the Iraq war on film. The resulting documentary, Control Room (2004), exposed the very divergent ways the Middle East and the West covered the war. Since then, Noujaim has continued to document the Middle East, lending a personal eye to the world's most startling current events. Her film The Square (2013), which premiered at Sundance and was shown on Netflix, give viewers an intimate look at the personal stories and cultural complexities of the 2011 Egyptian revolution.Raised between Egypt and the US, the exploration of culture is one of Jehane's driving forces. So is creating empathy and compassion through film. With the 2006 TED Prize, Noujaim wished for Pangea Day, a moment for people around the world come together to watch films and understand one another through their magic. Pangea Day took place in May 2008 and united people across 100 cities and online through a worldwide festival of film, music, art, performance and speakers.
What others say

“Through the deceptively simple practice of watching, listening and editing, Jehane Noujaim captures the complexity of reporting, and has a great deal to say about truth, democracy and the ambiguous status of the free press in the modern world.” — The New York Times",female,0.0,2.0,1.0,female
Larry Brilliant,"Epidemiologist, philanthropist","TED Prize winner Larry Brilliant has spent his career solving the ills of today — from overseeing the last smallpox cases to saving millions from blindness — and building technologies of the future. Now, as Chair of the Skoll Global Threats Fund, he's redefining how we solve the world's biggest problems.","Why you should listen
Larry Brilliant's career path, as unlikely as it is inspirational, has proven worthy of his surname. Trained as a doctor, he was living in a Himalayan monastery in the early 1970s when his guru told him he should help rid the world of smallpox. He joined the World Health Organization's eradication project, directed efforts to eliminate the disease in India and eventually presided over the last case of smallpox on the planet.  Not content with beating a single disease, he founded the nonprofit Seva Foundation, which has cured more than two million people of blindness in 15 countries through innovative surgery, self-sufficient eye care systems and low-cost manufacturing of intraocular lenses. Outside the medical field, he found time to cofound the legendary online community The Well, and run two public tech companies. Time and WIRED magazines call him a ""technology visionary.""  His 2006 TED Prize wish  drew on both sides of his career: He challenged the TED community to help him build a global early-response system to spot new diseases as quickly as they emerge. Called InSTEDD, the system has grown into a network of 100 digital detection partners, which provide tools that help the UN, WHO and CDC track potential pandemics. Shortly after he won the TED Prize, Google executives asked Brilliant to run their new philanthropic arm, Google.org. So, between consulting on the WHO's polio eradication project and designing a disease-surveillance network, he harnessed Google's brains and billions in a mix of for-profit and nonprofit ventures tackling the global problems of disease, poverty and climate change. Today, Brilliant is Chair of the Skoll Global Threats Fund, where he heads a team whose mission is to confront global threats imperiling humanity:  pandemics, climate change, water security, nuclear proliferation and Middle East conflict.
What others say

“If Larry Brilliant's life were a film, critics would pan the plot as implausible.” — WIRED",male,17.0,0.0,2.0,male
Nicholas Negroponte,Tech visionary,"The founder of the MIT Media Lab, Nicholas Negroponte pushed the edge of the information revolution as an inventor, thinker and angel investor. He's the driving force behind One Laptop per Child, building computers for children in the developing world.  ","Why you should listen
A pioneer in the field of computer-aided design, Negroponte founded (and was the first director of) MIT's Media Lab, which helped drive the multimedia revolution and now houses more than 500 researchers and staff across a broad range of disciplines. An original investor in Wired (and the magazine's ""patron saint""), for five years he penned a column exploring the frontiers of technology -- ideas that he expanded into his 1995 best-selling book Being Digital. An angel investor extraordinaire, he's funded more than 40 startups, and served on the boards of companies such as Motorola and Ambient Devices. But his latest effort, the One Laptop per Child  project, may prove his most ambitious. The organization is designing, manufacturing and distributing low-cost, wireless Internet-enabled computers costing roughly $100 and aimed at children. Negroponte hopes to put millions of these devices in the hands of children in the developing world.
What others say

“If Nicholas Negroponte can achieve his ambition of distributing $100 laptops to the world's disadvantaged children, he will help redefine philanthropy and see his name added to a list alongside the likes of Carnegie, Ford and Rockefeller.” — Technology Review",male,8.0,0.0,2.0,male
Jeff Han,Human-computer interface designer,"After years of research on touch-driven computer displays, Jeff Han has created a simple, multi-touch, multi-user screen interface that just might herald the end of the point-and-click era. ","Why you should listen
Jeff Han's intuitive ""interface-free"" computer displays -- controlled by the touch of fingertips -- will change forever the way you think about computers. At TED 2006, the audience whistled, clapped and gasped audibly as Han demoed (for the first time publicly) his prototype drafting table-cum-touch display, developed at NYU's Courant Institute of Mathematical Sciences. The demo included a virtual lightbox, where he moved photos by fingertip -- as if they were paper on a desk -- flicking them across the screen and zooming in and out by pinching two fingers together, as well as a Google Earth-like map that he tilted and flew over with simple moves. When the demo hit the web, bloggers and YouTubers made him a bit of a megastar. (His video has been watched more than 600,000 times on YouTube alone; ""Amazing,"" ""Incredible"" and ""Freaking awesome"" are the typical responses there. Also: ""When can I buy one?"") After this legendary demo, Han launched a startup called Perceptive Pixel  -- and when he came back to TED2007, he and his team brought an entire interactive wall, where TEDsters lined up to play virtual guitars. His talent and reputation earned him a place on Time Magazine's 2008 list of the world's 100 Most Influential People. 
What others say

“Working all but alone from his hardware-strewn office, Jeff Han is about to change the face of computing. Not even the big boys are likely to catch him.” — Fast Company",male,11.0,0.0,2.0,male
Jennifer Lin,"Pianist, composer","Concert pianist and composer Jennifer Lin was only 14 when she performed at TED, drawing tears with her extraordinary improvisation.","Why you should listen
A student of the Yamaha Music Education System  from the age of 4, pianist Jennifer Lin has an unusual talent for improvisation. Speaking at TED, she compared her creative process to drawing a comic, and admitted that the state of ""flow"" -- when she is able produce beautiful music instantly -- cannot be forced. Her virtuoso performances, particularly the improvisations, are profoundly moving, and -- even via podcast -- have been known to reduce listeners to tears. As one blogger recorded, ""I was listening to a presentation by a 14-year old girl named Jennifer Lin who plays the piano like whoa ... I wasn't expecting it, and when she was a minute or two into the piece, I was literally crying in the crowded subway car."" Lin was featured on ABC World News Tonight as Person of the Week and also appeared on a ""Little Geniuses"" segment on Oprah, where Winfrey declared her ""a miracle prodigy.""
What others say

“An exciting young talent who wants to touch the world.” — Peter Jennings, ABC World News Tonight",female,0.0,8.0,0.0,female
Sirena Huang,Violinist,"Sirena Huang started taking violin lessons at age 4 and made her professional solo debut at 9 with the Taiwan Symphony Orchestra. She has won top prizes in numerous international competitions, delighting audiences worldwide with her virtuosity and charm. ","Why you should listen
Only 11 years old when she performed at TED, Sirena Huang is still technically a child. But as anyone who sees her perform can attest, she has a musician's soul that transcends her years. ""Her musical imagination is boundless,"" said Juilliard  dean Stephen Clapp, who described her as ""a musical artist with qualities of maturity far beyond her age."" What's most striking in her performance style is the way she combines technical ability with emotional force and nuance. Her fiercely virtuoso performances are profoundly moving, even via podcast. ""Amazed,"" ""delighted"" and ""spellbound"" are the words bloggers often use after watching her play. She has won numerous awards for her brilliant performances worldwide, and has played for the likes of French president Nicolas Sarkozy, King Abdullah II of Jordan, and the Dalai Lama. ",female,0.0,16.0,0.0,female
Ross Lovegrove,Industrial designer,"Known as ""Captain Organic,"" Ross Lovegrove embraces nature as the inspiration for his ""fat-free"" design. Each object he creates — be it bottle, chair, staircase or car — is reduced to its essential elements. His pieces offer minimal forms of maximum beauty.","Why you should listen
Ross Lovegrove is truly a pioneer of industrial design. As founder of Studio X in the Notting Hill area of London, the Welsh-born designer has exuberantly embraced the potential offered by digital technologies. However, he blends his love of high tech with a belief that the natural world had the right idea all along: Many of his pieces are inspired by principles of evolution and microbiology. Delightedly crossing categories, Lovegrove has worked for clients as varied as Apple, Issey Miyake, Herman Miller and Airbus, and in 2005 he was awarded the World Technology Award for design. His personal artwork has been exhibited at MoMA  in New York, the Pompidou Centre  in Paris and the Design Museum in London. Lovegrove's astonishing objects are the result of an ongoing quest to create forms that, as he puts it, touch people's soul.
What others say

“Lovegrove's specialty is in qualifying the present moment in design, rather than restyling the past, by employing new technologies with new materials to define new shapes.” — New York Times",male,9.0,0.0,0.0,male
Amy Smith,"inventor, engineer","Amy Smith designs cheap, practical fixes for tough problems in developing countries. Among her many accomplishments, the MIT engineer received a MacArthur ""genius"" grant in 2004 and was the first woman to win the Lemelson-MIT Prize for turning her ideas into inventions.","Why you should listen
Mechanical engineer Amy Smith's approach to problem-solving in developing nations is refreshingly common-sense: Invent cheap, low-tech devices that use local resources, so communities can reproduce her efforts and ultimately help themselves. Smith, working with her students at MIT's D-Lab, has come up with several useful tools, including an incubator that stays warm without electricity, a simple grain mill, and a tool that converts farm waste into cleaner-burning charcoal. The inventions have earned Smith three prestigious prizes: the B.F. Goodrich Collegiate Inventors Award, the MIT-Lemelson Prize, and a MacArthur ""genius"" grant. Her course, ""Design for Developing Countries,"" is a pioneer in bringing humanitarian design into the curriculum of major institutions. Going forward, the former Peace Corps  volunteer strives to do much more, bringing her inventiveness and boundless energy to bear on some of the world's most persistent problems.
What others say

“Smith has a stable of oldfangled technologies that she has reconfigured and applied to underdeveloped areas around the world. Her solutions sound like answers to problems that should have been solved a century ago. To Smith, that's the point.” — Wired News",female,0.0,8.0,0.0,female
Richard Baraniuk,Education visionary,"Richard Baraniuk founded Connexions — now called OpenStax — a free, open-source, global clearinghouse of course materials. Students and educators tap into its vast store of texts on everything from engineering to ornithology to music, adapting the content as they see fit.","Why you should listen
Rice University professor Richard Baraniuk has a giant vision: to create a free global online education system that puts the power of creation and collaboration in the hands of teachers worldwide. He's realizing that vision with OpenStax (formerly named Connexions), a website that allows teachers to quickly ""create, rip, mix and burn"" coursework -- without fear of copyright violations. Think of it as Napster for education.OpenStax's open-source system cuts out the textbook, allowing teachers to share course materials, modify existing work and disseminate it to their students -- all for free, thanks to Creative Commons  licensing. Baraniuk envisions OpenStax as a repository where the most up-to-date material can be shared and reviewed (it's far more efficient than waiting for a textbook to be printed); it could become a powerful force in leveling the education playing field. Currently encompassing hundreds of online courses and used by a million people worldwide, Baraniuk's virtual educational system is revolutionizing the way people teach and learn.
What others say

“[Baraniuk] is trying to reshape the way academe uses both peer review and publishing. The project also has hopes of becoming a major curricular tool at community colleges.” — Inside Higher Ed",non-binary,0.0,0.0,2.0,
Ze Frank,"Humorist, web artist","Ze Frank rose to fame on a viral video — in 2001! He has been making online comedy, web toys and massively shared experiences (like the addictive Young Me Now Me) ever since.","Why you should listen
Ever since his ""How to Dance Properly"" viral video -- born as a party invite for 17 friends -- hit the Web in 2001, Ze Frank has been making people giggle, guffaw and gasp out loud whilst procrastinating at work. He defines, in many ways, the genre of online comedy, and continues to innovate madly on the form. In 2006 he launched a year-long daily video blog called The Show with Ze Frank, which Slate.com called ""the best sustained comedy run in the history of the Web."" His rapid-fire delivery and absurd explorations in audience participation (like Earth Sandwich) has influenced a generation of digital native YouTubers. Perhap his most brilliant move: calling on fans to write the show for him.  Using collaborative tools, online viewers collectively put words in his  mouth (and props in his lap); he faithfully performed this wiki-comedy  each week for his ""Fabuloso Friday"" show.In 2008, along with Erik Kastner, Frank launched Colowars, the first massively multiplayer game on Twitter, which featured two months of sponsored online events and competitions. Recently he has worked with his audience to create a series of projects based on shared emotions such as pain, fear and the pang of nostalgia. Frank works as a consultant to range of industries on audience engagement and is a public speaker on the subject of the virtual life. In 2012 he returned to the internet airwaves with ""A Show."" About which a MetaFilter commenter  wrote:If this were a cult, I would join.If this were a religion, I would attend services.If this were a band, I would not torrent the albums, but buy them, full price, from a local independent record store.If this were a telethon, I would buy multiple tote bags.Welcome back, Ze. ",male,14.0,0.0,5.0,male
Mena Trott,"Blogger; cofounder, Six Apart","Mena Trott and her husband Ben founded Six Apart in a spare bedroom after the blogging software they developed grew beyond a hobby. With products Movable Type, TypePad, LiveJournal and Vox, the company has helped lead the ""social media"" revolution.","Why you should listen
Time's 2006 Person of the Year is ""You,"" which is to say, everybody: ""The many wresting power from the few and helping one another for nothing."" The tools of this revolution have come in no small part from Six Apart, a 2002 startup that helped enable the blogging boom with its products. And co-founder Mena Trott, who rose to Internet fame with her own blog, DollarShort, has become a strong voice explaining the role of personal blogging in today's culture.Trott and her husband Ben developed Movable Type  for their own use in 2001, but it became immensely popular and they dove in full-time. By the time they were preparing their blog-hosting service TypePad, investors were knocking on the door. In 2004, the company grew from seven employees to 50, with Mena Trott serving as chief executive, as well as an interface designer. Today, having acquired LiveJournal  and introduced rich-media sharing platform Vox, Six Apart's software gives online voice to millions of people and organizations worldwide.
What others say

“Like Ms. Trott, Vox is unpretentious and accessible. ... She increasingly has the attention of elder statesmen who are baffled by the rise of blogging and need help in 'getting it.'” — The Economist",undetected,0.0,4.0,5.0,
