speaker,occupation,introduction,profile,Gender_auto,MaleScore,FemaleScore,NonBinaryScore,Gender_handcheck
Karoliina Korppoo,Game designer,"Inspired by classic city simulation games, Finnish designer Karoliina Korppoo and her fellow game developers at Colossal Order are infusing a venerable gaming genre with fresh perspectives.","Why you should listen
Developed by gaming upstarts Colossal Order and guided by Korppoo as lead designer, Cities: Skylines has become the gold standard for city simulation games -- an honor previously held by the genre-defining Sim City.At the core of Colossal Order’s rejuvenated game designs is their dedication to creating an accessible experience for all users, whether through ease of use or by allowing users to suggest their own modifications. As a result, Colossal Order doesn’t shy away from game projects that touch on the problems of urbanization, gentrification or the possibilities of servicing a city with nothing but gravel roads.
What others say

“[Cities: Skylines] demonstrates a perfect example of just how high the rewards can be for respecting your audience and making the game that people really want to play.” — PC Invasion, February 17, 2016",non-binary,0,1,2,female
Jeanny Yao,Science fair winner,"Miranda Wang and Jeanny Yao have identified a new bacteria that breaks down nasty compounds called phthalates, common to flexible plastics and linked to health problems. And they’re still teenagers.","Why you should listen
After a visit to a plastic-filled waste transfer station last year, students Miranda Wang and Jeanny Yao learned that much of the plastic in trash may not degrade for 5,000 years. Synthesized into plastics are phthalates, compounds that make shower curtain liners, food wraps and other products bendable but may also adversely impact human reproductive development and health.  As plastics slowly break down, these phthalates would leach into the surrounding environment.
So, the two young scientists tackled the problem and ultimately discovered strains of bacteria that have the potential to naturally degrade phthalates. Their work earned a regional first place in British Columbia for the 2012 Sanofi BioGENEius Challenge Canada, as well as a special award for the most commercial potential at the contest’s finals.",non-binary,0,0,1,female
Melinda Gates,Philanthropist,"Melinda French Gates is co-chair of the Bill & Melinda Gates Foundation, where she puts into practice the idea that every life has equal value.","Why you should listen
The Bill & Melinda Gates Foundation  works to help all people lead healthy, productive lives. As co-chair, Melinda French Gates helps shape and approve strategies, review results, advocate for foundation issues and set the overall direction. In developing countries, the foundation focuses on improving people's health with vaccines and other life-saving tools and giving them a chance to lift themselves out of hunger and extreme poverty. In the United States, it seeks to dramatically improve education so that all young people have the opportunity to reach their full potential. Based in Seattle, Washington, the foundation is led by CEO Jeff Raikes and co-chair William H. Gates Sr., under the direction of Bill Gates, Melinda Gates and Warren Buffett.In recent years, Melinda French Gates has become a vocal advocate for access to contraception, advancing the idea that empowering women to decide whether and when to have children can have transformational effects on societies. In 2012, Gates spearheaded the London Summit on Family Planning, with the goal of delivering contraceptives to 120 million women in developing countries by 2020. When asked why she got involved in this issue, Gates said, ""We knew that 210 million women were saying they wanted access to the contraceptives we have here in the United States and we weren't providing them because of political controversy in our country. To me, that was just a crime. I kept looking around trying to find the person to get this back on the global stage. I realized I just had to do it.""",non-binary,0,2,4,female
Natasha Tsakos,Artist,"The president and founder of NTiD inc., Natasha Tsakos brings a creative, innovative vision, and the art of orchestrating and synchronizing various disciplines, to the execution of high-leveled productions.","Why you should listen
Natasha Tsakos is a conceptual director, show creator, and performer who works in a brave new form of theater, where sound, computer-generated images and the performer move in sync to create a dreamlike yet sharply real stage environment. Within this space of total possibility, the Geneva-native muses on the deepest questions of the human soul. A Swiss-born artist living in the US, Tsakos's works include the cross-disciplinary spectacle ZO,  with a cast of 355 young performers; Up Wake, a live 3D animated show about a clown named Zero; OMEN, which covers five billion years of history in twenty minutes; and many, many more.
What others say

“A bitterwseet, funny, tragic world with existentialist shades of Samuel Beckett and especially Marcel Marceau.” — Octavio Roca, Miami New Times",no pronouns,0,0,0,female
Susan Savage-Rumbaugh,Primate authority,"Susan Savage-Rumbaugh has made startling breakthroughs in her lifelong work with chimpanzees and bonobos, showing the animals to be adept in picking up language and other ""intelligent"" behaviors.","Why you should listen
Into the great debate over intelligence and instinct -- over what makes us human -- Susan Savage-Rumbaugh has thrown a monkey wrench. Her work with apes has forced a new way of looking at what traits are truly and distinctly human, and new questions about whether some abilities we attribute to ""species"" are in fact due to an animal's social environment. She believes culture and tradition, in many cases more than biology, can account for differences between humans and other primates. Her bonobo apes, including a superstar named Kanzi, understand spoken English, interact, and have learned to execute tasks once believed limited to humans -- such as starting and controlling a fire. They aren't trained in classic human-animal fashion. Like human children, the apes learn by watching. ""Parents really don't know how they teach their children language,"" she has said. ""Why should I have to know how I teach Kanzi language? I just act normal around him, and he learns it.""Her latest book is Kanzi's Primal Language: The Cultural Initiation of Primates into Language.Also, in 2011, she was named one of TIME's 100 Most Influential People.  ",last case,2,6,3,female
Eddi Reader,Singer/songwriter,"In her warm, glorious voice, Eddi Reader sings thoughtful songs about love, longing and introspection.","Why you should listen
Scotland-born Eddi Reader was an '80s pop star in the UK, where her band Fairground Attraction had a #1 hit with the supercatchy ""Perfect."" Now, as a solo artist, her sounds has matured; quiet acoustic arrangements and gentle harmonies put her lush voice front and center. TED Music Director Thomas Dolby calls her his favorite singer of all time.Albums such as Candyfloss and Medicine and Angels & Electricity established her as a thoughtful songwriter and interpreter, with an affinity for wistful songs of longing and loss -- and a nice sideline in what used to be called ""message"" songs, which call to the listener to think about war and peace, the Earth and our place in it.Reader has also become a noted interpreter of the poems of Robert Burns. Her latest album, Peacetime, offers a compelling mix of Burns lyrics, traditional folk tunes and new songs written by Reader and her longtime songwriting partner, Boo Hewerdine. Fun fact: The title song on the album, ""Peacetime,"" Eddi first learned backstage at her 2003 TED performance.
What others say

“Some voices just do the job, don't they? For me, Eddi Reader is up there with, for instance, Bonnie Raitt and k.d. lang, singers who combine amazing technical control with emotional authority to make their heart-lifting music sound as natural as breathing.” — Chris Ingham, Mojo, June 1998",last case,1,9,2,female
Gabby Giffords,Former U.S. Representative,"After Rep. Gabby Giffords was wounded by a would-be assassin’s bullet in January 2011, she and her husband, Mark Kelly, a NASA astronaut, retired US Navy captain and combat veteran, have become known around the world for their story of hope and resilience.","Why you should listen
For nearly 15 years, Gabby Giffords has dedicated herself to public service. As the youngest woman ever elected to the Arizona State Senate, she represented her community in the Arizona Legislature from 2000-2005, and then in US Congress from 2006-2012. In Congress, Gabby represented a diverse area that covers 9,000 square miles including a 114-mile border with Mexico. She quickly became a leading champion of border security, energy independence, and the needs of military families and veterans. She was consistently ranked as one of the most centrist legislators in Congress. 
In 2007, Giffords married Mark Kelly, a Naval aviator who flew 39 combat missions in Operation Desert Storm and NASA astronaut. Mark flew his first of four missions in 2001 aboard Space Shuttle Endeavour, the same space shuttle that he commanded on its final flight in May 2011. He has also commanded Space Shuttle Discovery and is one of only two individuals who have visited the International Space Station on four different occasions.
On January 8, 2011 in Tucson, Arizona, an assassination attempt at an event with constituents left Giffords severely wounded, and six others dead. Since that day, Gabby and Mark have become known for their story of hope and resilience in the wake of tragedy.",last case,3,7,2,female
Sara DeWitt,Children’s media expert,"Inspired by Mister Rogers, Sara DeWitt strives to make every child feel special by charting the forefront of new digital mediums where kids spend their time.","Why you should listen
Sara DeWitt's work in the children's digital space was first inspired by Mister Rogers's approach to television. Just as he strove to make every child feel special through that new medium, her vision is to make each interaction with a game, stream and view an opportunity for children, parents, and teachers to learn and delight in new discoveries.Over the last 18 years, DeWitt has worked at the forefront of new platforms, in an effort to be everywhere kids are: from websites and mobiles apps to streaming video, augmented reality, 3D-rendered experiences, and wearable technologies. She oversees the Kidscreen- and Webby-award winning pbskids.org website, PBS KIDS streaming video services and the PBS KIDS portfolio of educational apps for children. In 2014, she was named one of the top 42 Women Leading in Education by the USC Rossier School of Education and one of the Top Women in Digital by Cynopsis Media in 2016. Before her career in public media, DeWitt worked as a preschool teacher, a management researcher and studied media habits of children in rural areas of the United States. She is a military spouse who has moved with her husband and two young sons four times in the last five years. They currently live in Alexandria, Virginia.",last case,1,6,2,female
Richard Baraniuk,Education visionary,"Richard Baraniuk founded Connexions — now called OpenStax — a free, open-source, global clearinghouse of course materials. Students and educators tap into its vast store of texts on everything from engineering to ornithology to music, adapting the content as they see fit.","Why you should listen
Rice University professor Richard Baraniuk has a giant vision: to create a free global online education system that puts the power of creation and collaboration in the hands of teachers worldwide. He's realizing that vision with OpenStax (formerly named Connexions), a website that allows teachers to quickly ""create, rip, mix and burn"" coursework -- without fear of copyright violations. Think of it as Napster for education.OpenStax's open-source system cuts out the textbook, allowing teachers to share course materials, modify existing work and disseminate it to their students -- all for free, thanks to Creative Commons  licensing. Baraniuk envisions OpenStax as a repository where the most up-to-date material can be shared and reviewed (it's far more efficient than waiting for a textbook to be printed); it could become a powerful force in leveling the education playing field. Currently encompassing hundreds of online courses and used by a million people worldwide, Baraniuk's virtual educational system is revolutionizing the way people teach and learn.
What others say

“[Baraniuk] is trying to reshape the way academe uses both peer review and publishing. The project also has hopes of becoming a major curricular tool at community colleges.” — Inside Higher Ed",non-binary,0,0,2,male
Sergey Brin,"Computer scientist, entrepreneur and philanthropist",Sergey Brin is half of the team that founded Google.,"Why you should listen
Sergey Brin and Larry Page met in grad school at Stanford   in the mid-'90s, and in 1996 started working on a search technology  based around a new idea: that relevant results come from context. Their  technology analyzed the number of times a given website was linked to by  other sites — assuming that the more links, the more relevant the site —  and ranked sites accordingly. Despite being a late entrant to the search game, it now rules the web.Brin and Page's innovation-friendly office culture has spun out lucrative new products including AdSense/AdWords, Google  News, Google Maps, Google Earth, and Gmail, as well as the Android mobile operating system. Now, led by Brin, Google is pursuing problems beyond the page, like  the driverless car and the digital eyewear known as Google Glass . ",non-binary,0,0,1,male
Stewart Brand,"Environmentalist, futurist","Since the counterculture '60s, Stewart Brand has been creating our internet-worked world. Now, with biotech accelerating four times faster than digital technology, Stewart Brand has a bold new plan ...","Why you should listen
With biotech accelerating four times faster than digital technology, the revival of extinct species is becoming possible. Stewart Brand plans to not only bring species back but restore them to the wild.Brand is already a legend in the tech industry for things he’s created: the Whole Earth Catalog, The WELL, the Global Business Network, the Long Now Foundation, and the notion that “information wants to be free.” Now Brand, a lifelong environmentalist, wants to re-create -- or “de-extinct” -- a few animals that’ve disappeared from the planet.Granted, resurrecting the woolly mammoth using ancient DNA may sound like mad science. But Brand’s Revive and Restore project has an entirely rational goal: to learn what causes extinctions so we can protect currently endangered species, preserve genetic and biological diversity, repair depleted ecosystems, and essentially “undo harm that humans have caused in the past.”
What others say

“Brand has always been much more of an iconoclast than an icon.” — Stanford Social Innovation Review, Winter 2010",non-binary,0,0,1,male
Gever Tulley,Tinkerer,"The founder of the Tinkering School, Gever Tulley likes to build things with kids.","Why you should listen
Gever Tulley writes the best Twitters: Just landed my paraglider in an empty field behind Santa 8arbara. ... Making amazing tshirts with a laser cutter at the maker faire in austin. ... Washing fruit, putting sheets on bunkbeds, and grinding up aluminum foil in a cheap blender ... Updating the school blog, trying to figure out how many cubic feet of air are in a 5 gallon cylinder at 200 PSI. ... Trying to figure out if the tinker kids are going to be able to get molten iron from magnetite sand ...A software engineer, Gever Tulley is the co-founder of the Tinkering School, a weeklong camp where lucky kids get to play with their very own power tools. He's interested in helping kids learn how to build, solve problems, use new materials and hack old ones for new purposes. He's also a certified paragliding instructor. ",non-binary,0,0,1,male
Zach Kaplan,Inventor,"Zach Kaplan is the CEO of Inventables, a company that collects and shows off new materials and new ideas (you can see their latest collection on Discovery Channel's new show, ""Prototype This!"").","Why you should listen
Zach Kaplan founded Inventables in 2002 with co-founder Keith Schacht. The firm seeks out interesting new materials, and blue-skies new uses for new materials, bringing its subscribers fresh ideas for commercial products (and the world's most amazing toys). Inventables is contributing to the new Discovery Channel show ""Prototype This! "" You can see three of the company's distinctive racks of materials in the Design Room on Prototype Island.",non-binary,0,0,1,male
José Antonio Abreu,Maestro,José Antonio Abreu founded El Sistema in 1975 to help Venezuelan kids learn to play musical instruments and be part of an orchestra. The TED Prize winner's bold idea has seeded hundreds of youth orchestras — and many happy lives.,"Why you should listen
In Venezuela, the gulf between rich and poor is one of the starkest in the world. José Antonio Abreu -- economist, musician and reformer -- founded El Sistema (""the system"") in 1975 to help Venezuelan kids take part in classical music. Four decades on, El Sistema is a nationwide network of youth orchestras, choirs and music centers -- and more than 750,000 young musicians. El Sistema uses music education to help kids from impoverished circumstances achieve their full potential and learn values that favor their growth. Several El Sistema students have gone on to major international careers, including Gustavo Dudamel, music director of the Los Angeles Philharmonic, and the bassist Edicson Ruiz, who at 17 became the youngest musician ever to join the Berlin Philharmonic. These talented musicians are a source of national pride. There is a simple concept behind Abreu's work: for him an orchestra is a place where children learn to listen to each other and to respect one another. This idea has rippled out to 55 countries -- from Afghanistan to Wales. With the 2009 TED Prize, Abreu created the Sistema Fellows Program, an iniative to train music educators passionate about social justice in the United States. Sistema Fellows have planted youth orchestras in 20 American cities, teaching more than 5,000 students. 
What others say

“What Abreu and El Sistema have done is to bring hope, through music, to hundreds of thousands of lives that would otherwise have been lost to drugs and violence.” — Sir Simon Rattle, Berlin Philharmonic",non-binary,1,0,2,male
Nathan Wolfe,Virus hunter,"Armed with blood samples, high-tech tools and a small army of fieldworkers, Nathan Wolfe hopes to re-invent pandemic control — and reveal hidden secrets of the planet's dominant lifeform: the virus.","Why you should listen
Using genetic sequencing, needle-haystack research, and dogged persistence (crucial to getting spoilage-susceptible samples through the jungle and to the lab), Nathan Wolfe has proven what was science-fiction conjecture only a few decades ago -- not only do viruses jump from animals to humans, but they do so all the time. Along the way Wolfe has discovered several new viruses, and is poised to discover many more. Wolfe's research has turned the field of epidemiology on its head, and attracted interest from philanthropists at Google.org and the Skoll foundation. Better still, the research opens the door to preventing epidemics before they happen, sidelining them via early-warning systems and alleviating the poverty from which easy transmission emerges.
What others say

“Wolfe's brand of globe-trotting, open-ended viral discovery echoes an almost Victorian scientific ethic, an expedition to catalog the unseen menagerie of the world.” — Wired",non-binary,0,0,3,male
Alex Tabarrok,Economist,"With the hit economic blog MarginalRevolution.com, co-author Alex Tabarrok generates more hits than a summer hailstorm, and sheds light into the darkest corners of the dismal science.","Why you should listen
Perhaps the appeal of economics in the blogosphere was not pre-ordained from its representation in the bestseller lists (the Freakonomics phenomenon notwithstanding). But economists have taken the internet by storm, and Alex Tabarrok is one of the hottest -- along with co-author Tyler Cowen, their blog marginalrevolution.com  is one of the most popular on the web, generating a forest of links and kudos from the mainstream press, including the Wall Street Journal.Tabarrok's fascinations include the intersection among economics, law and public policy -- examining questions such as how race and poverty affect the outcome of jury trials. Tabarrok is also the Director of Research for the Independent Institute, an assistant editor for the Independent Review, and an Associate Professor of Economics at George Mason University.
What others say

“Marginal Revolution was one of the first of its ilk in 2003 because “we saw there was a scarcity of excellent economics blogs and thought we could make our mark,” Cowen says. And they have: It often ranks first or second among economics blogs on Schiff’s Web site, along with Freakonomics.” — richmondfed.org",non-binary,0,0,2,male
Kevin Surace,"Engineer, executive",Kevin Surace is looking at the climate crisis from an engineer's perspective — and creating products that prove there's no piece of our daily lives we can't redesign to be cleaner and greener.,"Why you should listen
Kevin Surace wants to reduce the use of fossil fuels and their effect on the environment by greening manufacturing processes that create the basic components of our everyday life. As CEO of Serious Materials, he's helping to reduce the energy usage (and CO2 emissions) generated by the world's largest contributor -- buildings.Before Serious Materials, Surace worked with Perfect Commerce, General Magic, Air Communications, National Semiconductor and Seiko-Epson.
What others say

“Kevin Surace of Serious Materials is proof that rethinking, retooling and re-acting can turn a bleak labor situation into bright green opportunities.” — On the Green Front",non-binary,0,0,1,male
William Li,Cancer researcher,"William Li heads the Angiogenesis Foundation, a nonprofit that is re-conceptualizing global disease fighting.","Why you should listen
Many of society’s most devastating diseases -- cancer, cardiovascular disease, diabetes and Alzheimer’s, to name a few -- share a common denominator: faulty angiogenesis, the body’s growth of new capillary blood vessels. Given excessive or insufficient blood vessel growth, serious health issues arise. While researching under Harvard surgeon Judah Folkman, who pioneered the study of angiogenesis, Li learned how angiogenesis-based medicine helps patients overcome numerous diseases by restoring the balance of blood-vessel growth. Li co-founded the Angiogenesis Foundation in 1994. The foundation’s Project ENABLE -- a global system that integrates patients, medical experts and healthcare professionals -- democratizes the spread and implementation of knowledge about angiogenesis-based medicines, diet and lifestyle. Some 40,000 physicians have been educated on new treatments, ranging from cancer care to wound care, by the foundation’s faculty of medical experts, and they are bringing new, lifesaving and disease-preventing techniques to people around the world.
What others say

“Imagine that one medical advancement held the promise to conquer cancer, perhaps within your lifetime … the potential to also end more than 70 of life's most threatening conditions, affecting one billion people worldwide. This is the promise of angiogenesis, the first medical revolution of the 21st century.” — William Li",non-binary,0,0,1,male
John Kasaona,Conservationist,John Kasaona is a pioneer of community-based conservation — working with the people who use and live on fragile land to enlist them in protecting it.,"Why you should listen
John Kasaona is a leader in the drive to reinvent conservation in Namibia -- turning poachers into protectors of species. It’s a standard nature-documentary scenario: a pristine animal habitat under constant threat by the people who live there, hunting, camping, setting fires. But John Kasaona knows there is a better way to see this relationship between people and environment. As the assistant director for the Integrated Rural Development and Nature Conservation (IRDNC) , Kasaona works on ways to improve the lives of rural people in Namibia by involving them in the management of the lands they live on -- and the species that live there with them. Kasanoa's Community-Based Natural Resource Management (CBNRM) program helps rural villages set up communal conservancies, which manage and use local natural resources in a sustainable manner. Essentially, it's about restoring the balance of land and people to that of pre-colonial times, and allowing the people with the most interest in the survival of their environment to have control of it. His work was featured in the recent film Milking the Rhino.The World Wildlife Fund has set up a portal for TEDsters to help in John Kasaona's work. Learn more >>
What others say

“Our attitude is important. If we pretend to be concerned and helpful but still see the community next to a conservation area as a threat, conservation won't work.” — John Kasanoa",non-binary,1,0,5,male
Eythor Bender,Berkeley Bionics' CEO,"Eythor Bender is the CEO of Berkeley Bionics, which augments humans with wearable, powered and artificially intelligent devices called exoskeletons or ""wearable robots.""","Why you should listen
Eythor Bender is the CEO of Berkeley Bionics, which augments humans with wearable, powered and artificially intelligent devices called exoskeletons or ""wearable robots."" User of the HULC (Human Universal Load Carrier) can carry up to 200 pounds for hours and over all terrains. eLEGS, an exoskeleton for wheelchair users, powers paraplegics up to get them standing and walking.Bender has fostered innovation with bionic and orthopedic technologies throughout his career, taking them from unconventional approaches to sustainable, FDA-approved products that help individuals participate in their community. Such was the case with the boomerang-shaped prosthesis Cheetah Flex-Foot by Ossur, worn by the history-making bilateral amputee Oscar Pistorius. Bender's team fought for, and won, Pistorius' right to compete in the Olympics.
What others say

“Seriously, everyone: a soldier just walked onto the #TED stage wearing a functional exoskeleton.” — @hodgman",non-binary,1,0,3,male
