title,views,descr
A Darwinian theory of beauty,"
1,870,691
","
TED collaborates with animator Andrew Park to illustrate Denis Dutton's provocative theory on beauty — that art, music and other beautiful things, far from being simply ""in the eye of the beholder,"" are a core part of human nature with deep evolutionary origins.  
"
What a bike ride can teach you,"
498,853
","
Computer science professor Shimon Schocken is also an avid mountain biker. To share the life lessons he learned while riding, he began an outdoor program with Israel's juvenile inmates and was touched by both their intense difficulties and profound successes. Photographs by Raphael Rabinovitz.
"
Casting a spell on the cello,"
368,799
","
Caroline Lavelle plays the cello like a sorceress casting a spell, occasionally hiding behind her wild mane of blond hair as she sings of pastoral themes. She performs ""Farther than the Sun,"" backed by Thomas Dolby on keyboards.
"
My green school dream,"
840,935
","
Join John Hardy on a tour of the Green School, his off-the-grid school in Bali that teaches kids how to build, garden, create (and get into college). The centerpiece of campus is the spiraling Heart of School, perhaps the world's largest freestanding bamboo building.
"
Making law on the high seas,"
331,151
","
Kristina Gjerde studies the law of the high seas — the 64 percent of our ocean that isn't protected by any national law at all. Gorgeous photos show the hidden worlds that Gjerde and other lawyers are working to protect from trawling and trash-dumping, through smart policymaking and a healthy dose of PR.
"
Protecting the brain against concussion,"
404,233
","
Neuropsychologist Kim Gorgens makes the case for better protecting our brains against the risk of concussion — with a compelling pitch for putting helmets on kids.
"
"Women, wartime and the dream of peace","
455,819
","
In war we often see only the frontline stories of soldiers and combat. AT TEDGlobal 2010, Zainab Salbi tells powerful ""backline"" stories of women who keep everyday life going during conflicts, and calls for women to have a place at the negotiating table once fighting is over.
"
Why work doesn't happen at work,"
4,280,503
","
Jason Fried has a radical theory of working: that the office isn't a good place to do it. He calls out the two main offenders (call them the M&Ms) and offers three suggestions to make the workplace actually work.
"
Creative houses from reclaimed stuff,"
989,230
","
In this funny and inspiring talk, Dan Phillips tours us through a dozen homes he's built in Texas using recycled and reclaimed materials in wildly creative ways. Brilliant, low-tech design details will refresh your own drive to make more with less.
"
What's wrong with our food system,"
1,986,732
","
At a TEDx event, 11-year-old Birke Baehr presents his take on a major source of our food — far-away and less-than-picturesque industrial farms. Keeping farms out of sight promotes a rosy, unreal picture of big-box agriculture, he argues, as he outlines the case to green and localize food production.
"
"The walk from ""no"" to ""yes""","
1,475,494
","
William Ury, author of ""Getting to Yes,"" offers an elegant, simple (but not easy) way to create agreement in even the most difficult situations — from family conflict to, perhaps, the Middle East.
"
Why not eat insects?,"
1,314,103
","
Marcel Dicke makes an appetizing case for adding insects to everyone's diet. His message to squeamish chefs and foodies: delicacies like locusts and caterpillars compete with meat in flavor, nutrition and eco-friendliness.
"
How I taught rats to sniff out land mines,"
513,867
","
No one knows exactly how many landmines still litter the world, but it's safe to say: millions, waiting to kill and maim unsuspecting civilians. Clearing them is slow, expensive and dangerous. The founder of Apopo, Bart Weetjens, talks about his extraordinary project: training rats to sniff out land mines. He shows clips of his ""hero rats"" in action, and previews his work's next phase: teaching them to turn up tuberculosis in the lab.
"
The illusion of consciousness,"
2,352,742
","
Philosopher Dan Dennett makes a compelling argument that not only don't we understand our own consciousness, but that half the time our brains are actively fooling us.
"
A vision for sustainable restaurants,"
800,343
","
If you've been in a restaurant kitchen, you've seen how much food, water and energy can be wasted there. Chef Arthur Potts-Dawson shares his very personal vision for drastically reducing restaurant, and supermarket, waste — creating recycling, composting, sustainable engines for good (and good food).
"
How to truly listen,"
3,632,608
","
In this soaring demonstration, deaf percussionist Evelyn Glennie illustrates how listening to music involves much more than simply letting sound waves hit your eardrums.
"
A feminine response to Iceland's financial crash,"
506,361
","
Halla Tomasdottir managed to take her company Audur Capital through the eye of the financial storm in Iceland by applying 5 traditionally ""feminine"" values to financial services. At TEDWomen, she talks about these values and the importance of balance. 
"
A call to men,"
1,945,558
","
At TEDWomen, Tony Porter makes a call to men everywhere: Don't ""act like a man."" Telling powerful stories from his own life, he shows how this mentality, drummed into so many men and boys, can lead men to disrespect, mistreat and abuse women and each other. His solution: Break free of the ""man box.""
"
A police chief with a difference,"
752,320
","
Kiran Bedi has a surprising resume. Before becoming Director General of the Indian Police Service, she managed one of the country's toughest prisons — and used a new focus on prevention and education to turn it into a center of learning and meditation. She shares her thoughts on visionary leadership at TEDWomen.
"
New data on the rise of women,"
700,670
","
Hanna Rosin reviews startling new data that shows women actually surpassing men in several important measures, such as college graduation rates. Do these trends, both US-centric and global, signal the ""end of men""? Probably not — but they point toward an important societal shift worth deep discussion.

"
How to learn? From mistakes,"
1,553,037
","
Diana Laufenberg shares three surprising things she has learned about teaching — including a key insight about learning from mistakes.
"
Let's talk parenting taboos,"
1,973,761
","
Babble.com publishers Rufus Griscom and Alisa Volkman, in a lively tag-team, expose 4 facts that parents never, ever admit — and why they should. Funny and honest, for parents and nonparents alike.
"
The case for collaborative consumption,"
1,024,942
","
In her talk, Rachel Botsman says we're ""wired to share"" — and shows how websites like Zipcar and Swaptree are changing the rules of human behavior.
"
Changing education paradigms,"
1,693,717
","
In this talk from RSA Animate, Sir Ken Robinson lays out the link between 3 troubling trends: rising drop-out rates, schools' dwindling stake in the arts, and ADHD. An important, timely talk for parents and teachers.
"
Life lessons from big cats,"
779,002
","
Beverly + Dereck Joubert live in the bush, filming and photographing lions and leopards in their natural habitat. With stunning footage (some never before seen), they discuss their personal relationships with these majestic animals — and their quest to save the big cats from human threats.
"
Cradle to cradle design,"
1,311,714
","
Green-minded architect and designer William McDonough asks what our buildings and products would look like if designers took into account ""all children, all species, for all time."" 
"
Why we have too few women leaders,"
6,194,692
","
Facebook COO Sheryl Sandberg looks at why a smaller percentage of women than men reach the top of their professions — and offers 3 powerful pieces of advice to women aiming for the C-suite.
"
3 stories of local eco-entrepreneurship,"
498,939
","
The future of green is local. Majora Carter tells three inspiring stories of people who are saving their own communities while saving the planet. 
"
The power of vulnerability,"
25,137,593
","
Brené Brown studies human connection — our ability to empathize, belong, love. In a poignant, funny talk, she shares a deep insight from her research, one that sent her on a personal quest to know herself as well as to understand humanity. A talk to share.
"
Using our practical wisdom,"
870,325
","
In an intimate talk, Barry Schwartz dives into the question ""How do we do the right thing?"" With help from collaborator Kenneth Sharpe, he shares stories that illustrate the difference between following the rules and truly choosing wisely.
"
How to succeed? Get more sleep,"
3,583,507
","
In this short talk, Arianna Huffington shares a small idea that can awaken much bigger ones: the power of a good night's sleep. Instead of bragging about our sleep deficits, she urges us to shut our eyes and see the big picture: We can sleep our way to increased productivity and happiness — and smarter decision-making.
"
On reading the Koran,"
1,685,948
","
Lesley Hazleton sat down one day to read the Koran. And what she found — as a non-Muslim, a self-identified ""tourist"" in the Islamic holy book — wasn't what she expected. With serious scholarship and warm humor, Hazleton shares the grace, flexibility and mystery she found, in this myth-debunking talk.
"
Your brain on improv,"
1,169,900
","
Musician and researcher Charles Limb wondered how the brain works during musical improvisation — so he put jazz musicians and rappers in an fMRI to find out. What he and his team found has deep implications for our understanding of creativity of all kinds.
"
"A test that finds 3x more breast tumors, and why it's not available to you","
839,027
","
Working with a team of physicists, Dr. Deborah Rhodes developed a new tool for tumor detection that's 3 times as effective as traditional mammograms for women with dense breast tissue. The life-saving implications are stunning. So why haven't we heard of it? Rhodes shares the story behind the tool's creation, and the web of politics and economics that keep it from mainstream use.
"
The 3 A's of awesome,"
2,646,900
","
Neil Pasricha's blog 1000 Awesome Things savors life's simple pleasures, from free refills to clean sheets. In this heartfelt talk, he reveals the 3 secrets (all starting with A) to leading a life that's truly awesome.
"
A realistic vision for world peace,"
608,456
","
Nobel Peace laureate Jody Williams brings tough love to the dream of world peace, with her razor-sharp take on what ""peace"" really means, and a set of profound stories that zero in on the creative struggle — and sacrifice — of those who work for it.
"
The electricity metaphor for the web's future,"
658,574
","
The dot-com boom and bust is often compared to the Gold Rush. But Amazon.com founder Jeff Bezos says it’s more like the early days of the electric industry.
"
We are all cyborgs now,"
1,352,933
","
Technology is evolving us, says Amber Case, as we become a screen-staring, button-clicking new version of homo sapiens. We now rely on ""external brains"" (cell phones and computers) to communicate, remember, even live out secondary lives. But will these machines ultimately connect or conquer us? Case offers surprising insight into our cyborg selves.
"
How I built a toaster — from scratch,"
1,221,490
","
It takes an entire civilization to build a toaster. Designer Thomas Thwaites found out the hard way, by attempting to build one from scratch: mining ore for steel, deriving plastic from oil ... it's frankly amazing he got as far as he got. A parable of our interconnected society, for designers and consumers alike.
"
"Take ""the Other"" to lunch","
843,873
","
There's an angry divisive tension in the air that threatens to make modern politics impossible. Elizabeth Lesser explores the two sides of human nature within us (call them ""the mystic"" and ""the warrior”) that can be harnessed to elevate the way we treat each other. She shares a simple way to begin real dialogue — by going to lunch with someone who doesn't agree with you, and asking them three questions to find out what's really in their hearts.
"
Gaming to re-engage boys in learning,"
872,863
","
In her talk, Ali Carr-Chellman pinpoints three reasons boys are tuning out of school in droves, and lays out her bold plan to re-engage them: bringing their culture into the classroom, with new rules that let boys be boys, and video games that teach as well as entertain.
"
Addicted to risk,"
856,557
","
Days before this talk, journalist Naomi Klein was on a boat in the Gulf of Mexico, looking at the catastrophic results of BP's risky pursuit of oil. Our societies have become addicted to extreme risk in finding new energy, new financial instruments and more ... and too often, we're left to clean up a mess afterward. Klein's question: What's the backup plan?
"
Singing after a double lung transplant,"
489,209
","
You'll never sing again, said her doctor. But in a story from the very edge of medical possibility, operatic soprano Charity Tillemann-Dick tells a double story of survival — of her body, from a double lung transplant, and of her spirit, fueled by an unwavering will to sing. A powerful story from TEDMED 2010.
"
The economic injustice of plastic,"
391,750
","
When we throw away our plastic trash, where does it go? In this hard-hitting talk, Van Jones shows us how our throwaway culture hits poor people and poor countries ""first and worst,"" with consequences we all share no matter where we live. Ho offers some ways to reclaim our planet from plastic garbage.
"
Visualizing the medical data explosion,"
429,854
","
Medical scans can produce thousands of images for a single patient in seconds, but how do doctors know what's useful? Scientific visualization expert Anders Ynnerman shows us sophisticated new tools — like virtual autopsies — for analyzing our data, and hints at the sci-fi-sounding medical technologies coming up next. This talk contains some graphic medical imagery.
"
Silicon-based comedy,"
700,059
","
In this first-of-its-kind demo, Heather Knight introduces Data, a robotic stand-up comedian that does much more than rattle off one-liners — it gathers audience feedback (using software co-developed with Scott Satkin and Varun Ramakrishna at CMU) and tunes its act as the crowd responds. Is this thing on?
"
Understanding the rise of China,"
2,093,715
","
Speaking at a TED Salon in London, Martin Jacques asks: How do we in the West make sense of China and its phenomenal rise? The author of ""When China Rules the World,"" he examines why the West often puzzles over the growing power of the Chinese economy, and offers three building blocks for understanding what China is and will become.
"
It's time to redesign medical data,"
457,052
","
Your medical chart: it's hard to access, impossible to read — and full of information that could make you healthier if you just knew how to use it. At TEDMED, Thomas Goetz looks at medical data, making a bold call to redesign it and get more insight from it.
"
Drawing on humor for change,"
1,172,715
","
New Yorker cartoonist Liza Donnelly shares a portfolio of her wise and funny cartoons about modern life — and talks about how humor can empower women to change the rules.
"
The council of dads,"
439,963
","
Diagnosed with cancer, Bruce Feiler worried first about his young family. So — as he shares in this funny, rambling and ultimately thoughtful talk — he asked his closest friends to become a ""council of dads,"" bringing their own lifetimes of wisdom to advise his twin daughters as they grow.
"
Reviving New York's rivers — with oysters!,"
296,822
","
Architect Kate Orff sees the oyster as an agent of urban change. Bundled into beds and sunk into city rivers, oysters slurp up pollution and make legendarily dirty waters clean — thus driving even more innovation in ""oyster-tecture."" Orff shares her vision for an urban landscape that links nature and humanity for mutual benefit.
"
We are makers,"
670,827
","
America was built by makers — curious, enthusiastic amateur inventors whose tinkering habit sparked whole new industries. At TED@MotorCity, MAKE magazine publisher Dale Dougherty says we're all makers at heart, and shows cool new tools to tinker with, like Arduinos, affordable 3D printers, even DIY satellites.
"
Social media and the end of gender,"
1,143,809
","
Media and advertising companies still use the same old demographics to understand audiences, but they're becoming increasingly harder to track online, says media researcher Johanna Blakley. As social media outgrows traditional media, and women users outnumber men, Blakley explains what changes are in store for the future of media.
"
Are we born to run?,"
2,195,446
","
Christopher McDougall explores the mysteries of the human desire to run. How did running help early humans survive — and what urges from our ancient ancestors spur us on today? McDougall tells the story of the marathoner with a heart of gold, the unlikely ultra-runner, and the hidden tribe in Mexico that runs to live.
"
"Poems of war, peace, women, power","
535,049
","
Poet Suheir Hammad performs two spine-tingling spoken-word pieces: ""What I Will"" and ""break (clustered)"" — meditations on war and peace, on women and power. Wait for the astonishing line: ""Do not fear what has blown up. If you must, fear the unexploded.""
"
How to make work-life balance work,"
3,243,230
","
Work-life balance, says Nigel Marsh, is too important to be left in the hands of your employer. Marsh lays out an ideal day balanced between family time, personal time and productivity — and offers some stirring encouragement to make it happen.
"
The rise of personal robots,"
1,000,327
","
Cynthia Breazeal wonders: Why can we use robots on Mars, but not in our living rooms? The key, she says, is in training robots to interact with people. Now she dreams up and builds robots that teach, learn — and play. Watch for amazing demo footage of a new interactive game for kids.
"
Mother and daughter doctor-heroes,"
317,250
","
They've been called the ""saints of Somalia."" Doctor Hawa Abdi and her daughter Deqo Mohamed discuss their medical clinic in Somalia, where — in the face of civil war and open oppression of women — they've built a hospital, a school and a community of peace.
"
Using nature's genius in architecture,"
1,542,992
","
How can architects build a new world of sustainable beauty? By learning from nature. Michael Pawlyn describes three habits of nature that could transform architecture and society: radical resource efficiency, closed loops, and drawing energy from the sun.
"
A whistleblower you haven't heard,"
1,276,459
","
World champion whistler Geert Chatrou performs the whimsical ""Eleonora"" by A. Honhoff, and his own ""Fête de la Belle."" In a fascinating interlude, he talks about what brought him to the craft.
"
Reconnecting with compassion,"
602,062
","
The term ""compassion"" — typically reserved for the saintly or the sappy — has fallen out of touch with reality. At a special TEDPrize@UN, journalist Krista Tippett deconstructs the meaning of compassion through several moving stories, and proposes a new, more attainable definition for the word.
"
The linguistic genius of babies,"
2,168,409
","
Patricia Kuhl shares astonishing findings about how babies learn one language over another — by listening to the humans around them and ""taking statistics"" on the sounds they need to know. Clever lab experiments (and brain scans) show how 6-month-old babies use sophisticated reasoning to understand their world.
"
Inspiring a life of immersion,"
763,725
","
We each want to live a life of purpose, but where to start? In this luminous, wide-ranging talk, Jacqueline Novogratz introduces us to people she's met in her work in ""patient capital"" — people who have immersed themselves in a cause, a community, a passion for justice. These human stories carry powerful moments of inspiration.
"
"The future of business is the ""mesh""","
670,807
","
Lisa Gansky, author of ""The Mesh,"" talks about a future of business that's about sharing all kinds of stuff, either via smart and tech-enabled rental or, more boldly, peer-to-peer. Examples across industries — from music to cars — show how close we are to this meshy future.
"
On being a woman and a diplomat,"
675,733
","
Former US Secretary of State Madeleine Albright talks bluntly about politics and diplomacy, making the case that women's issues deserve a place at the center of foreign policy. Far from being a ""soft"" issue, she says, women's issues are often the very hardest ones, dealing directly with life and death. A frank and funny Q&A with Pat Mitchell from the Paley Center.
"
How to use experts — and when not to,"
839,115
","
We make important decisions every day — and we often rely on experts to help us decide. But, says economist Noreena Hertz, relying too much on experts can be limiting and even dangerous. She calls for us to start democratizing expertise — to listen not only to ""surgeons and CEOs, but also to shop staff.""
"
A mockingbird remix of TED2006,"
611,142
","
Rives recaps the most memorable moments of TED2006 in the free-spirited rhyming verse of a fantastical mockingbird lullaby.
"
Saving faces: A facial surgeon's craft,"
596,505
","
Maxillofacial surgeon Iain Hutchison works with people whose faces have been severely disfigured. By pushing to improve surgical techniques, he helps to improve their lives; and by commissioning their portraits, he celebrates their humanity. NOTE: This talk contains images of disfigured and badly injured faces that may be disturbing — and Hutchison provides thoughtful answers as to why a disfigured face can shock us so deeply. Squeamish? Hide your screen from 12:10 - 13:19, but do keep listening. Portraits shown in this talk come from Mark Gilbert.

"
Curating humanity's heritage,"
398,443
","
It's been said that when an elder dies, it's as if a library is burned. Anthropologist Elizabeth Lindsey, a National Geographic Fellow, collects the deep cultural knowledge passed down as stories and lore.
"
Understanding cancer through proteomics,"
397,950
","
Danny Hills makes a case for the next frontier of cancer research: proteomics, the study of proteins in the body. As Hillis explains it, genomics shows us a list of the ingredients of the body — while proteomics shows us what those ingredients produce. Understanding what's going on in your body at the protein level may lead to a new understanding of how cancer happens.
"
"A modern take on piano, violin, cello","
693,082
","
The three Ahn sisters (cellist Maria, pianist Lucia, violinist Angella) breathe new life into the piano trio with their passionate musicmaking. At TEDWomen, they start with the bright and poppy ""Skylife,"" by David Balakrishnan, then play a gorgeous, slinky version of ""Oblivion,"" by Astor Piazzolla.
"
A historic moment in the Arab world,"
881,035
","
As a democratic revolution led by tech-empowered young people sweeps the Arab world, Wadah Khanfar, the head of Al Jazeera, shares a profoundly optimistic view of what's happening in Egypt, Tunisia, Libya and beyond — at this powerful moment when people realized they could step out of their houses and ask for change.
"
My wish: Use art to turn the world inside out,"
2,475,743
","
JR, a semi-anonymous French street artist, uses his camera to show the world its true face, by pasting photos of the human face across massive canvases. At TED2011, he makes his audacious TED Prize wish: to use art to turn the world inside out. Learn more about his work and learn how you can join in at insideoutproject.net.
"
Inside the Egyptian revolution,"
841,200
","
Wael Ghonim is the Google executive who helped jumpstart Egypt's democratic revolution ... with a Facebook page memorializing a victim of the regime's violence. Speaking at TEDxCairo, he tells the inside story of the past two months, when everyday Egyptians showed that ""the power of the people is stronger than the people in power.""
"
How state budgets are breaking US schools,"
1,820,314
","
America's school systems are funded by the 50 states. In this fiery talk, Bill Gates says that state budgets are riddled with accounting tricks that disguise the true cost of health care and pensions and weighted with worsening deficits — with the financing of education at the losing end.
"
Printing a human kidney,"
2,619,913
","
Surgeon Anthony Atala demonstrates an early-stage experiment that could someday solve the organ-donor problem: a 3D printer that uses living cells to output a transplantable kidney. Using similar technology, Dr. Atala's young patient Luke Massella received an engineered bladder 10 years ago; we meet him onstage.
"
This isn't her mother's feminism,"
833,311
","
Blogger Courtney Martin examines the perennially loaded word ""feminism"" in this personal and heartfelt talk. She talks through the three essential paradoxes of her generation's quest to define the term for themselves.
"
"""What You've Got""","
399,417
","
Singer/songwriter Eddi Reader performs ""What You Do With What You've Got,"" a meditation on a very TED theme: how to use your gifts and talents to make a difference. With Thomas Dolby on piano.
"
Let's use video to reinvent education,"
4,107,790
","
Salman Khan talks about how and why he created the remarkable Khan Academy, a carefully structured series of educational videos offering complete curricula in math and, now, other subjects. He shows the power of interactive exercises, and calls for teachers to consider flipping the traditional classroom script — give students video lectures to watch at home, and do ""homework"" in the classroom with the teacher available to help.
"
"Beware online ""filter bubbles""","
3,572,758
","
As web companies strive to tailor their services (including news and search results) to our personal tastes, there's a dangerous unintended consequence: We get trapped in a ""filter bubble"" and don't get exposed to information that could challenge or broaden our worldview. Eli Pariser argues powerfully that this will ultimately prove to be bad for us and bad for democracy. 
"
The birth of a word,"
2,305,688
","
MIT researcher Deb Roy wanted to understand how his infant son learned language — so he wired up his house with videocameras to catch every moment (with exceptions) of his son's life, then parsed 90,000 hours of home video to watch ""gaaaa"" slowly turn into ""water."" Astonishing, data-rich research with deep implications for how we learn.
"
How to keep rivers and streams flowing,"
566,360
","
With streams and rivers drying up because of over-usage, Rob Harmon talks about a clever market mechanism to bring back the water. Farmers and beer companies find their fates intertwined in the century-old tale of Prickly Pear Creek.
"
The social animal,"
1,075,485
","
Columnist David Brooks unpacks new insights into human nature from the cognitive sciences — insights with massive implications for economics and politics as well as our own self-knowledge. In a talk full of humor, he shows how you can't hope to understand humans as separate individuals making choices based on their conscious awareness. 
"
The sound the universe makes,"
992,197
","
We think of space as a silent place. But physicist Janna Levin says the universe has a soundtrack — a sonic composition that records some of the most dramatic events in outer space. (Black holes, for instance, bang on spacetime like a drum.) An accessible and mind-expanding soundwalk through the universe.
"
A life lesson from a volunteer firefighter,"
1,828,953
","
Volunteer firefighter Mark Bezos tells a story of an act of heroism that didn't go quite as expected — but that taught him a big lesson: Don't wait to be a hero.
"
Why light needs darkness,"
521,606
","
Lighting architect Rogier van der Heide offers a beautiful new way to look at the world — by paying attention to light (and to darkness). Examples from classic buildings illustrate a deeply thought-out vision of the play of light around us.
"
What separates us from chimpanzees?,"
1,533,157
","
Jane Goodall hasn't found the missing link, but she's come closer than nearly anyone else. The primatologist says the only real difference between humans and chimps is our sophisticated language. She urges us to start using it to change the world.
"
"""Kiteflyer's Hill""","
490,237
","
Singer/songwriter Eddi Reader performs ""Kiteflyer's Hill,"" a tender look back at a lost love. With Thomas Dolby on piano.
"
If I should have a daughter ...,"
9,253,372
","
""If I should have a daughter, instead of Mom, she's gonna call me Point B ... "" began spoken word poet Sarah Kay, in a talk that inspired two standing ovations at TED2011. She tells the story of her metamorphosis — from a wide-eyed teenager soaking in verse at New York's Bowery Poetry Club to a teacher connecting kids with the power of self-expression through Project V.O.I.C.E. — and gives two breathtaking performances of ""B"" and ""Hiroshima.""
"
The magic washing machine,"
2,167,842
","
What was the greatest invention of the industrial revolution? Hans Rosling makes the case for the washing machine. With newly designed graphics from Gapminder, Rosling shows us the magic that pops up when economic growth and electricity turn a boring wash day into an intellectual day of reading.
"
"Evolution's gift of play, from bonobo apes to humans","
621,339
","
With never-before-seen video, primatologist Isabel Behncke Izquierdo (a TED Fellow) shows how bonobo ape society learns from constantly playing — solo, with friends, even as a prelude to sex. Indeed, play appears to be the bonobos' key to problem-solving and avoiding conflict. If it works for our close cousins, why not for us?
"
It's time to question bio-engineering,"
1,063,562
","
Glowing dogs ... mice that grow human ears ... bioethicist Paul Root Wolpe describes an astonishing series of recent bio-engineering experiments, and asks: Isn't it time to set some ground rules?
"
Human exoskeletons — for war and healing,"
1,340,508
","
Eythor Bender of Berkeley Bionics brings onstage two amazing exoskeletons, HULC and eLEGS — robotic add-ons that could one day allow a human to carry 200 pounds without tiring, or allow a wheelchair user to stand and walk. It's a powerful onstage demo, with implications for human potential of all kinds.
"
Singing the primal mystery,"
372,285
","
""The human voice: mysterious, spontaneous, primal."" With these words, soprano Claron McFadden invites us to explore the mysteries of breathing and singing, as she performs the intriguing modern song ""Aria,"" by John Cage.
"
Don't insist on English!,"
1,419,914
","
Patricia Ryan is a longtime English teacher who asks a provocative question: Is the world's focus on English preventing the spread of great ideas in other languages? In other words: What if Einstein had to pass the TOEFL? It's a passionate defense of translating and sharing ideas.
"
"Cracking Stuxnet, a 21st-century cyber weapon","
1,208,489
","
When first discovered in 2010, the Stuxnet computer worm posed a baffling puzzle. Beyond its sophistication loomed a more troubling mystery: its purpose. Ralph Langner and team helped crack the code that revealed this digital warhead's final target. In a fascinating look inside cyber-forensics, he explains how — and makes a bold (and, it turns out, correct) guess at its shocking origins.
"
The genius puppetry behind War Horse,"
1,407,914
","
""Puppets always have to try to be alive,"" says Adrian Kohler of the Handspring Puppet Company, a gloriously ambitious troupe of human and wooden actors. Beginning with the tale of a hyena's subtle paw, puppeteers Kohler and Basil Jones build to the story of their latest astonishment: the wonderfully life-like Joey, the War Horse, who trots (and gallops) convincingly onto the TED stage.
"
Google's driverless car,"
2,234,200
","
Sebastian Thrun helped build Google's amazing driverless car, powered by a very personal quest to save lives and reduce traffic accidents. Jawdropping video shows the DARPA Challenge-winning car motoring through busy city traffic with no one behind the wheel, and dramatic test drive footage from TED2011 demonstrates how fast the thing can really go.
"
"A virtual choir 2,000 voices strong","
3,229,340
","
In a moving and madly viral video last year, composer Eric Whitacre led a virtual choir of singers from around the world. He talks through the creative challenges of making music powered by YouTube, and unveils the first 2 minutes of his new work, ""Sleep,"" with a video choir of 2,052. The full piece premiered a few weeks later (yes, on YouTube!).
"
Hands-on science with squishy circuits,"
786,181
","
In a zippy demo at TED U, AnnMarie Thomas shows how two different kinds of homemade play dough can be used to demonstrate electrical properties — by lighting up LEDs, spinning motors, and turning little kids into circuit designers.
"
"Listen, learn ... then lead","
2,085,622
","
Four-star general Stanley McChrystal shares what he learned about leadership over his decades in the military. How can you build a sense of shared purpose among people of many ages and skill sets? By listening and learning — and addressing the possibility of failure.
"
Everyday compassion at Google,"
817,298
","
Google's ""Jolly Good Fellow,"" Chade-Meng Tan, talks about how the company practices compassion in its everyday business — and its bold side projects.
"
The greatest TED Talk ever sold,"
1,907,251
","
With humor and persistence, filmmaker Morgan Spurlock dives into the hidden but influential world of brand marketing, on his quest to make a completely sponsored film about sponsorship. (And yes, onstage naming rights for this talk were sponsored too. By whom and for how much? He'll tell you.)
"
The invention that unlocked a locked-in artist,"
918,545
","
The nerve disease ALS left graffiti artist TEMPT paralyzed from head to toe, forced to communicate blink by blink. In a remarkable talk at TEDActive, entrepreneur Mick Ebeling shares how he and a team of collaborators built an open-source invention that gave the artist — and gives others in his circumstance — the means to make art again.
"
Looking past limits,"
1,907,655
","
Activist Caroline Casey tells the story of her extraordinary life, starting with a revelation (no spoilers). In a talk that challenges perceptions, Casey asks us all to move beyond the limits we may think we have.
"
A song inspired by the ocean,"
625,794
","
Jackson Browne plays a song about being on the ocean ... or really, being anywhere among passionate friends. (He started writing this song aboard Mission Blue Voyage, a Sylvia Earle-inspired conference about saving the ocean.) ""If I could be anywhere,"" he sings, ""anywhere right now, I would be here."" 
"
The history of our world in 18 minutes,"
6,164,744
","
Backed by stunning illustrations, David Christian narrates a complete history of the universe, from the Big Bang to the Internet, in a riveting 18 minutes. This is ""Big History"": an enlightening, wide-angle look at complexity, life and humanity, set against our slim share of the cosmic timeline.
"
The antidote to apathy,"
1,519,813
","
Local politics — schools, zoning, council elections — hit us where we live. So why don't more of us actually get involved? Is it apathy? Dave Meslin says no. He identifies 7 barriers that keep us from taking part in our communities, even when we truly care.
"
Why would God create a tsunami?,"
570,923
","
In the days following the tragic South Asian tsunami of 2004, the Rev. Tom Honey pondered the question, ""How could a loving God have done this?"" Here is his answer.
"
