,subject,verb,term_freq,doc_freq,tfidf
103,i,discover,35,28,9.910525282343736
104,i,suppose,31,28,8.77789382150445
105,i,be,30,28,8.494735956294631
106,i,live,28,28,7.928420225874989
107,i,expect,34,27,9.52923738423385
108,i,explain,29,27,8.127878945375931
109,i,open,33,27,9.248965696462268
110,he,know,29,26,8.042805801697755
111,i,join,29,26,8.042805801697755
112,i,pull,28,26,7.765467670604728
113,i,wear,33,25,9.053677857011722
114,i,hold,31,25,8.50497010810192
115,i,draw,28,25,7.681908484737218
116,i,miss,31,25,8.50497010810192
117,he,see,27,25,7.407554610282318
118,he,saw,28,25,7.681908484737218
119,he,look,26,24,7.054196051292496
120,i,throw,28,24,7.596826516776534
121,i,enjoy,24,24,6.511565585808457
122,he,turn,27,24,7.325511284034515
123,i,offer,26,24,7.054196051292496
124,he,try,25,23,6.705452478062701
125,she,start,26,23,6.973670577185208
126,i,describe,32,23,8.582979171920257
127,i,figure,24,23,6.437234378940192
128,i,pay,28,23,7.510106775430224
129,i,drive,27,23,7.241888676307717
130,she,make,28,22,7.4216205212676085
131,i,develop,31,22,8.216794148546281
132,i,stand,24,22,6.361389018229379
133,i,speak,23,21,6.022075955826313
134,i,receive,25,21,6.545734734593818
135,i,promise,23,21,6.022075955826313
136,i,notice,24,21,6.283905345210066
137,i,experience,24,21,6.283905345210066
138,i,follow,24,21,6.283905345210066
139,i,finish,21,21,5.4984171770588075
140,i,grow,21,20,5.429062537869433
141,he,bring,24,20,6.204642900422209
142,he,come,23,20,5.946116112904616
143,i,raise,21,20,5.429062537869433
144,i,wish,29,19,7.399158881243635
145,i,become,23,19,5.868298423055297
146,she,give,30,19,7.6543022909416925
147,he,like,21,19,5.358011603659184
148,he,show,21,19,5.358011603659184
149,i,'s,21,19,5.358011603659184
150,i,consider,20,19,5.102868193961128
151,i,happen,22,19,5.6131550133572405
152,he,build,20,18,5.033432519914062
153,i,let,19,18,4.781760893918359
154,i,win,27,18,6.795133901883984
155,i,wait,20,18,5.033432519914062
156,he,keep,20,18,5.033432519914062
157,i,cut,22,18,5.536775771905469
158,i,appreciate,20,18,5.033432519914062
159,i,visit,21,18,5.285104145909766
160,i,manage,19,17,4.713950011431117
161,i,gon,31,17,7.691181597598138
162,i,encourage,23,17,5.706360540153457
163,he,lose,21,16,5.132949917790245
164,she,find,25,16,6.110654664036006
165,i,sell,19,16,4.644097544667365
166,she,ask,16,16,3.910818984983044
167,he,pull,18,16,4.399671358105924
168,i,eat,17,16,4.155245171544484
169,i,blow,18,15,4.331344806952024
170,i,carry,17,15,4.090714539899134
171,i,close,16,15,3.8500842728462437
172,he,need,18,15,4.331344806952024
173,i,accept,14,14,3.313808639639332
174,i,save,17,14,4.023910490990618
175,i,hit,17,14,4.023910490990618
176,she,leave,14,14,3.313808639639332
177,i,present,14,14,3.313808639639332
178,i,hat,20,14,4.734012342341903
179,he,read,14,14,3.313808639639332
180,i,found,15,14,3.5505092567564276
181,i,lead,16,13,3.721922138664535
182,i,prefer,13,13,3.024061737664935
183,i,plan,14,13,3.2566818713314682
184,i,push,13,13,3.024061737664935
185,he,leave,15,13,3.489302004998002
186,i,stick,16,13,3.721922138664535
187,i,invent,15,13,3.489302004998002
188,he,teach,14,13,3.2566818713314682
189,i,touch,18,13,4.1871624059976025
190,i,answer,15,13,3.489302004998002
191,i,approach,14,13,3.2566818713314682
192,i,convince,13,13,3.024061737664935
193,i,continue,13,13,3.024061737664935
194,she,know,15,13,3.489302004998002
195,i,guess,12,12,2.7404162984298495
196,she,call,13,12,2.9687843232990034
197,she,see,16,12,3.653888397906466
198,i,place,13,12,2.9687843232990034
199,i,recommend,12,12,2.7404162984298495
200,he,hear,13,12,2.9687843232990034
201,i,suggest,12,12,2.7404162984298495
202,she,bring,20,12,4.567360497383082
203,i,witness,16,12,3.653888397906466
204,he,spend,13,12,2.9687843232990034
205,i,catch,15,12,3.4255203730373114
206,i,inspire,12,12,2.7404162984298495
207,she,saw,13,12,2.9687843232990034
208,i,assure,12,12,2.7404162984298495
209,i,name,14,12,3.1971523481681574
210,she,try,18,12,4.110624447644774
211,i,explore,12,12,2.7404162984298495
212,i,introduce,12,12,2.7404162984298495
213,she,use,13,12,2.9687843232990034
214,i,remind,12,11,2.6870234857440742
215,i,force,11,11,2.463104861932068
216,he,kill,13,11,2.9109421095560806
217,i,allow,13,11,2.9109421095560806
218,i,photograph,14,11,3.1348607333680865
219,he,begin,11,11,2.463104861932068
220,he,decide,12,11,2.6870234857440742
221,i,hop,14,11,3.1348607333680865
222,i,fly,11,11,2.463104861932068
223,i,interview,15,11,3.358779357180093
224,he,play,13,11,2.9109421095560806
225,he,create,12,11,2.6870234857440742
226,i,record,13,11,2.9109421095560806
227,i,propose,12,11,2.6870234857440742
228,she,look,13,11,2.9109421095560806
229,he,develop,12,11,2.6870234857440742
230,he,learn,13,11,2.9109421095560806
231,i,apply,11,11,2.463104861932068
232,he,live,10,10,2.1923967119439745
233,i,recognize,10,10,2.1923967119439745
234,she,love,13,10,2.8501157255271665
235,i,wake,13,10,2.8501157255271665
236,he,speak,11,10,2.411636383138372
237,i,quit,13,10,2.8501157255271665
238,i,grab,12,10,2.630876054332769
239,she,like,11,10,2.411636383138372
240,i,check,11,10,2.411636383138372
241,he,run,11,10,2.411636383138372
242,i,paint,11,10,2.411636383138372
243,he,send,11,10,2.411636383138372
244,she,write,11,10,2.411636383138372
245,he,change,11,10,2.411636383138372
246,she,put,10,10,2.1923967119439745
247,i,fascinate,10,10,2.1923967119439745
248,i,treat,11,10,2.411636383138372
249,i,train,10,10,2.1923967119439745
250,he,understand,13,10,2.8501157255271665
251,i,break,10,10,2.1923967119439745
252,i,fell,10,10,2.1923967119439745
253,i,argue,10,10,2.1923967119439745
254,i,travel,10,10,2.1923967119439745
255,i,solve,12,10,2.630876054332769
256,he,think,11,10,2.411636383138372
257,i,tend,9,9,1.9286077356658704
258,i,shoot,11,9,2.3571872324805083
259,i,hire,15,9,3.214346226109784
260,i,cover,17,9,3.642925722924422
261,he,open,9,9,1.9286077356658704
262,she,come,10,9,2.1428974840731896
263,i,guarantee,9,9,1.9286077356658704
264,i,wonder,9,9,1.9286077356658704
265,he,shoot,9,9,1.9286077356658704
266,he,let,9,9,1.9286077356658704
267,he,win,11,9,2.3571872324805083
268,he,stop,10,9,2.1428974840731896
269,he,wear,10,9,2.1428974840731896
270,i,trust,10,9,2.1428974840731896
271,i,ignore,9,8,1.8811286191546723
272,i,fail,9,8,1.8811286191546723
273,i,marry,9,8,1.8811286191546723
274,she,stop,9,8,1.8811286191546723
275,i,quote,8,8,1.6721143281374866
276,i,encounter,8,8,1.6721143281374866
277,i,support,9,8,1.8811286191546723
278,he,pay,8,8,1.6721143281374866
279,i,collect,10,8,2.090142910171858
280,i,blame,12,8,2.50817149220623
281,he,sit,9,8,1.8811286191546723
282,i,drop,11,8,2.299157201189044
283,i,struggle,8,8,1.6721143281374866
284,he,design,11,8,2.299157201189044
285,i,strike,8,8,1.6721143281374866
286,he,love,8,8,1.6721143281374866
287,i,admire,9,8,1.8811286191546723
288,i,fill,9,8,1.8811286191546723
289,he,walk,8,8,1.6721143281374866
290,i,intend,9,8,1.8811286191546723
291,i,challenge,8,8,1.6721143281374866
292,he,invite,8,8,1.6721143281374866
293,he,pick,10,8,2.090142910171858
294,i,pass,10,8,2.090142910171858
295,he,grab,8,8,1.6721143281374866
296,i,enter,8,8,1.6721143281374866
297,i,count,8,8,1.6721143281374866
298,she,live,8,7,1.6267128230908336
299,i,pitch,7,7,1.4233737202044794
300,she,turn,7,7,1.4233737202044794
301,i,n't,7,7,1.4233737202044794
302,i,organize,7,7,1.4233737202044794
303,she,keep,8,7,1.6267128230908336
304,i,practice,7,7,1.4233737202044794
305,i,not,7,7,1.4233737202044794
306,she,sit,7,7,1.4233737202044794
307,he,point,7,7,1.4233737202044794
308,he,set,7,7,1.4233737202044794
309,she,teach,7,7,1.4233737202044794
310,i,kill,7,7,1.4233737202044794
311,he,become,7,7,1.4233737202044794
312,i,bet,7,7,1.4233737202044794
313,i,measure,10,7,2.033391028863542
314,he,believe,7,7,1.4233737202044794
315,i,connect,7,7,1.4233737202044794
316,he,describe,9,7,1.830051925977188
317,he,throw,7,7,1.4233737202044794
318,i,define,7,7,1.4233737202044794
319,i,urge,8,7,1.6267128230908336
320,he,hold,7,7,1.4233737202044794
321,i,research,7,7,1.4233737202044794
322,i,translate,7,7,1.4233737202044794
323,he,draw,8,7,1.6267128230908336
324,i,track,7,7,1.4233737202044794
325,i,repeat,9,7,1.830051925977188
326,i,test,7,7,1.4233737202044794
327,i,dig,7,7,1.4233737202044794
328,he,talk,8,7,1.6267128230908336
329,she,begin,9,7,1.830051925977188
330,he,lead,7,7,1.4233737202044794
331,i,fight,8,7,1.6267128230908336
332,i,reach,7,7,1.4233737202044794
333,i,publish,7,7,1.4233737202044794
334,he,mean,10,7,2.033391028863542
335,i,stay,7,7,1.4233737202044794
336,i,shift,6,6,1.1829550555958208
337,i,observe,7,6,1.3801142315284576
338,i,attempt,7,6,1.3801142315284576
339,she,reach,7,6,1.3801142315284576
340,i,bear,6,6,1.1829550555958208
341,he,hit,6,6,1.1829550555958208
342,i,mix,6,6,1.1829550555958208
343,he,feel,6,6,1.1829550555958208
344,i,type,9,6,1.774432583393731
345,i,listen,7,6,1.3801142315284576
346,i,dream,6,6,1.1829550555958208
347,she,save,8,6,1.5772734074610943
348,he,follow,6,6,1.1829550555958208
349,i,launch,6,6,1.1829550555958208
350,i,devote,6,6,1.1829550555958208
351,he,end,6,6,1.1829550555958208
352,i,beat,6,6,1.1829550555958208
353,i,divide,6,6,1.1829550555958208
354,he,die,7,6,1.3801142315284576
355,i,tap,9,6,1.774432583393731
356,she,think,7,6,1.3801142315284576
357,he,explain,7,6,1.3801142315284576
358,i,lay,6,6,1.1829550555958208
359,he,felt,6,6,1.1829550555958208
360,he,carry,7,6,1.3801142315284576
361,he,invent,6,6,1.1829550555958208
362,i,afford,7,6,1.3801142315284576
363,he,work,7,6,1.3801142315284576
364,i,film,6,6,1.1829550555958208
365,he,break,6,6,1.1829550555958208
366,i,earn,6,6,1.1829550555958208
367,i,care,6,6,1.1829550555958208
368,he,meet,7,6,1.3801142315284576
369,i,compare,6,6,1.1829550555958208
370,i,perform,6,6,1.1829550555958208
371,i,adore,7,6,1.3801142315284576
372,i,control,7,6,1.3801142315284576
373,i,focus,6,6,1.1829550555958208
374,i,waste,6,6,1.1829550555958208
375,i,predict,6,6,1.1829550555958208
376,she,pull,6,6,1.1829550555958208
377,i,ride,7,6,1.3801142315284576
378,i,own,6,6,1.1829550555958208
379,he,move,6,6,1.1829550555958208
380,i,climb,6,6,1.1829550555958208
381,i,roll,6,6,1.1829550555958208
382,i,email,8,5,1.5225434987240054
383,i,abandon,5,5,0.9515896867025033
384,he,sell,6,5,1.141907624043004
385,he,seem,5,5,0.9515896867025033
386,i,assign,7,5,1.3322255613835046
387,i,hand,7,5,1.3322255613835046
388,i,gain,7,5,1.3322255613835046
389,i,doubt,5,5,0.9515896867025033
390,i,cook,5,5,0.9515896867025033
391,i,involve,5,5,0.9515896867025033
392,i,cross,5,5,0.9515896867025033
393,i,forgive,6,5,1.141907624043004
394,he,watch,5,5,0.9515896867025033
395,he,save,5,5,0.9515896867025033
396,i,expose,5,5,0.9515896867025033
397,i,capture,7,5,1.3322255613835046
398,i,fear,6,5,1.141907624043004
399,i,fix,5,5,0.9515896867025033
400,i,deliver,5,5,0.9515896867025033
401,i,identify,6,5,1.141907624043004
402,i,deal,5,5,0.9515896867025033
403,i,click,6,5,1.141907624043004
404,i,post,6,5,1.141907624043004
405,he,experience,5,5,0.9515896867025033
406,he,propose,8,5,1.5225434987240054
407,he,drive,5,5,0.9515896867025033
408,she,meet,5,5,0.9515896867025033
409,i,sing,5,5,0.9515896867025033
410,i,sleep,5,5,0.9515896867025033
411,she,read,9,5,1.712861436064506
412,she,mean,5,5,0.9515896867025033
413,he,pass,5,5,0.9515896867025033
414,i,plant,7,5,1.3322255613835046
415,he,beat,5,5,0.9515896867025033
416,i,suspect,6,5,1.141907624043004
417,she,run,9,5,1.712861436064506
418,i,pop,5,5,0.9515896867025033
419,she,sell,7,5,1.3322255613835046
420,he,figure,5,5,0.9515896867025033
421,she,lose,5,5,0.9515896867025033
422,i,step,5,5,0.9515896867025033
423,i,prepare,5,5,0.9515896867025033
424,she,decide,5,5,0.9515896867025033
425,she,hold,7,5,1.3322255613835046
426,i,seem,5,5,0.9515896867025033
427,she,change,5,5,0.9515896867025033
428,he,realize,5,5,0.9515896867025033
429,i,rotate,5,5,0.9515896867025033
430,i,warn,5,5,0.9515896867025033
431,i,weave,5,5,0.9515896867025033
432,she,create,6,5,1.141907624043004
433,he,push,5,5,0.9515896867025033
434,she,build,6,5,1.141907624043004
435,i,report,5,5,0.9515896867025033
436,i,return,5,5,0.9515896867025033
437,i,seek,5,5,0.9515896867025033
438,he,refuse,5,5,0.9515896867025033
439,he,reach,5,5,0.9515896867025033
440,she,open,4,4,0.7302589512585025
441,he,imagine,5,4,0.9128236890731282
442,i,sneak,4,4,0.7302589512585025
443,i,adopt,4,4,0.7302589512585025
444,i,admit,5,4,0.9128236890731282
445,i,shake,4,4,0.7302589512585025
446,he,buy,4,4,0.7302589512585025
447,she,marry,4,4,0.7302589512585025
448,i,scan,4,4,0.7302589512585025
449,i,scream,4,4,0.7302589512585025
450,i,sign,4,4,0.7302589512585025
451,he,summon,4,4,0.7302589512585025
452,i,achieve,4,4,0.7302589512585025
453,i,face,4,4,0.7302589512585025
454,he,suffer,4,4,0.7302589512585025
455,i,suffer,4,4,0.7302589512585025
456,i,steal,5,4,0.9128236890731282
457,i,embrace,5,4,0.9128236890731282
458,i,crack,4,4,0.7302589512585025
459,she,become,4,4,0.7302589512585025
460,she,buy,4,4,0.7302589512585025
461,i,contact,4,4,0.7302589512585025
462,she,catch,5,4,0.9128236890731282
463,he,visit,4,4,0.7302589512585025
464,i,deny,4,4,0.7302589512585025
465,i,complete,4,4,0.7302589512585025
466,i,transform,4,4,0.7302589512585025
467,i,commission,4,4,0.7302589512585025
468,he,drink,5,4,0.9128236890731282
469,she,eat,7,4,1.2779531647023794
470,i,combine,4,4,0.7302589512585025
471,he,eat,4,4,0.7302589512585025
472,i,die,4,4,0.7302589512585025
473,he,choose,4,4,0.7302589512585025
474,i,discount,5,4,0.9128236890731282
475,he,enter,4,4,0.7302589512585025
476,i,coach,4,4,0.7302589512585025
477,i,switch,4,4,0.7302589512585025
478,he,expect,4,4,0.7302589512585025
479,he,touch,5,4,0.9128236890731282
480,i,download,5,4,0.9128236890731282
481,i,drag,5,4,0.9128236890731282
482,he,face,4,4,0.7302589512585025
483,i,light,4,4,0.7302589512585025
484,i,strive,5,4,0.9128236890731282
485,she,pick,4,4,0.7302589512585025
486,i,fire,4,4,0.7302589512585025
487,he,cover,5,4,0.9128236890731282
488,i,borrow,4,4,0.7302589512585025
489,i,impose,4,4,0.7302589512585025
490,i,press,5,4,0.9128236890731282
491,i,jump,4,4,0.7302589512585025
492,he,share,4,4,0.7302589512585025
493,he,shake,4,4,0.7302589512585025
494,i,pour,4,4,0.7302589512585025
495,he,order,4,4,0.7302589512585025
496,i,avoid,4,4,0.7302589512585025
497,i,pose,4,4,0.7302589512585025
498,i,burn,4,4,0.7302589512585025
499,she,throw,4,4,0.7302589512585025
500,he,publish,4,4,0.7302589512585025
501,i,hide,4,4,0.7302589512585025
502,she,show,5,4,0.9128236890731282
503,she,sing,4,4,0.7302589512585025
504,i,memorize,4,4,0.7302589512585025
505,she,speak,4,4,0.7302589512585025
506,i,mind,4,4,0.7302589512585025
507,i,multiply,4,4,0.7302589512585025
508,i,assemble,4,4,0.7302589512585025
509,i,influence,4,4,0.7302589512585025
510,he,agree,4,4,0.7302589512585025
511,i,owe,4,4,0.7302589512585025
512,i,overhear,4,4,0.7302589512585025
513,he,answer,4,4,0.7302589512585025
514,i,kick,4,4,0.7302589512585025
515,i,produce,5,4,0.9128236890731282
516,i,knock,5,4,0.9128236890731282
517,i,land,4,4,0.7302589512585025
518,he,be,4,4,0.7302589512585025
519,he,introduce,4,4,0.7302589512585025
520,he,join,4,4,0.7302589512585025
521,i,list,4,4,0.7302589512585025
522,i,rent,4,4,0.7302589512585025
523,i,remove,4,4,0.7302589512585025
524,i,form,5,4,0.9128236890731282
525,i,reject,4,4,0.7302589512585025
526,i,regret,4,4,0.7302589512585025
527,i,attend,4,4,0.7302589512585025
528,she,work,5,4,0.9128236890731282
529,i,project,4,4,0.7302589512585025
530,i,gather,5,4,0.9128236890731282
531,he,lay,4,4,0.7302589512585025
532,i,question,4,4,0.7302589512585025
533,i,breathe,4,4,0.7302589512585025
534,i,provide,4,4,0.7302589512585025
535,i,pursue,4,4,0.7302589512585025
536,i,graduate,6,4,1.0953884268877538
537,she,raise,5,4,0.9128236890731282
538,she,wear,4,4,0.7302589512585025
539,i,refuse,4,4,0.7302589512585025
540,i,order,4,4,0.7302589512585025
541,she,collect,3,3,0.5203643637330367
542,she,chase,3,3,0.5203643637330367
543,she,volunteer,3,3,0.5203643637330367
544,she,blow,4,3,0.693819151644049
545,she,drop,4,3,0.693819151644049
546,i,conduct,3,3,0.5203643637330367
547,i,construct,3,3,0.5203643637330367
548,she,bear,3,3,0.5203643637330367
549,i,bang,4,3,0.693819151644049
550,she,play,4,3,0.693819151644049
551,she,felt,3,3,0.5203643637330367
552,i,chase,4,3,0.693819151644049
553,she,be,3,3,0.5203643637330367
554,she,pay,3,3,0.5203643637330367
555,she,need,3,3,0.5203643637330367
556,i,carve,3,3,0.5203643637330367
557,i,cast,3,3,0.5203643637330367
558,she,miss,4,3,0.693819151644049
559,i,browse,3,3,0.5203643637330367
560,i,cease,3,3,0.5203643637330367
561,she,remember,4,3,0.693819151644049
562,she,lower,3,3,0.5203643637330367
563,she,learn,5,3,0.8672739395550613
564,she,study,3,3,0.5203643637330367
565,she,send,3,3,0.5203643637330367
566,she,set,4,3,0.693819151644049
567,she,hit,3,3,0.5203643637330367
568,i,block,3,3,0.5203643637330367
569,i,bless,3,3,0.5203643637330367
570,she,grab,4,3,0.693819151644049
571,she,sleep,3,3,0.5203643637330367
572,she,spend,4,3,0.693819151644049
573,i,beg,4,3,0.693819151644049
574,she,stand,3,3,0.5203643637330367
575,she,help,3,3,0.5203643637330367
576,i,lift,5,3,0.8672739395550613
577,she,allow,3,3,0.5203643637330367
578,i,recall,3,3,0.5203643637330367
579,i,pray,3,3,0.5203643637330367
580,i,presume,3,3,0.5203643637330367
581,i,print,3,3,0.5203643637330367
582,i,hang,3,3,0.5203643637330367
583,i,handle,3,3,0.5203643637330367
584,i,prove,3,3,0.5203643637330367
585,i,punch,3,3,0.5203643637330367
586,i,regard,3,3,0.5203643637330367
587,i,point,3,3,0.5203643637330367
588,i,represent,5,3,0.8672739395550613
589,i,request,3,3,0.5203643637330367
590,i,require,3,3,0.5203643637330367
591,i,flip,3,3,0.5203643637330367
592,i,resent,3,3,0.5203643637330367
593,i,reveal,3,3,0.5203643637330367
594,i,ring,3,3,0.5203643637330367
595,i,head,3,3,0.5203643637330367
596,i,plug,4,3,0.693819151644049
597,i,salute,3,3,0.5203643637330367
598,i,illustrate,3,3,0.5203643637330367
599,i,lean,3,3,0.5203643637330367
600,i,lock,3,3,0.5203643637330367
601,i,long,3,3,0.5203643637330367
602,i,manipulate,3,3,0.5203643637330367
603,i,master,3,3,0.5203643637330367
604,i,match,3,3,0.5203643637330367
605,i,improve,3,3,0.5203643637330367
606,i,pack,3,3,0.5203643637330367
607,i,highlight,3,3,0.5203643637330367
608,i,pan,3,3,0.5203643637330367
609,i,paste,6,3,1.0407287274660735
610,i,honor,3,3,0.5203643637330367
611,i,persuade,3,3,0.5203643637330367
612,i,phone,3,3,0.5203643637330367
613,i,picture,3,3,0.5203643637330367
614,i,pile,3,3,0.5203643637330367
615,i,round,3,3,0.5203643637330367
616,i,seize,3,3,0.5203643637330367
617,i,criticize,3,3,0.5203643637330367
618,i,dedicate,3,3,0.5203643637330367
619,i,trace,3,3,0.5203643637330367
620,i,determine,3,3,0.5203643637330367
621,i,desire,3,3,0.5203643637330367
622,i,trade,3,3,0.5203643637330367
623,i,update,3,3,0.5203643637330367
624,i,value,3,3,0.5203643637330367
625,i,view,3,3,0.5203643637330367
626,i,visualize,3,3,0.5203643637330367
627,i,tempt,3,3,0.5203643637330367
628,i,wash,4,3,0.693819151644049
629,i,date,4,3,0.693819151644049
630,i,wave,3,3,0.5203643637330367
631,i,dare,3,3,0.5203643637330367
632,i,weigh,3,3,0.5203643637330367
633,i,wind,4,3,0.693819151644049
634,she,'s,3,3,0.5203643637330367
635,i,tilt,4,3,0.693819151644049
636,i,dip,3,3,0.5203643637330367
637,i,serve,4,3,0.693819151644049
638,i,engage,3,3,0.5203643637330367
639,i,express,3,3,0.5203643637330367
640,i,simplify,3,3,0.5203643637330367
641,i,slow,3,3,0.5203643637330367
642,i,examine,3,3,0.5203643637330367
643,i,envision,3,3,0.5203643637330367
644,i,smile,3,3,0.5203643637330367
645,i,snap,3,3,0.5203643637330367
646,i,sort,3,3,0.5203643637330367
647,i,tear,3,3,0.5203643637330367
648,i,spare,3,3,0.5203643637330367
649,i,speed,3,3,0.5203643637330367
650,i,split,8,3,1.387638303288098
651,i,spread,4,3,0.693819151644049
652,i,edit,3,3,0.5203643637330367
653,i,sum,3,3,0.5203643637330367
654,i,swear,3,3,0.5203643637330367
655,i,back,3,3,0.5203643637330367
656,he,'s,3,3,0.5203643637330367
657,he,spin,3,3,0.5203643637330367
658,he,prove,3,3,0.5203643637330367
659,he,graduate,3,3,0.5203643637330367
660,he,help,3,3,0.5203643637330367
661,he,fund,3,3,0.5203643637330367
662,he,release,3,3,0.5203643637330367
663,he,add,4,3,0.693819151644049
664,he,raise,3,3,0.5203643637330367
665,he,stand,3,3,0.5203643637330367
666,he,grow,4,3,0.693819151644049
667,he,own,3,3,0.5203643637330367
668,he,paint,4,3,0.693819151644049
669,he,hand,3,3,0.5203643637330367
670,he,present,3,3,0.5203643637330367
671,he,murder,3,3,0.5203643637330367
672,he,remind,3,3,0.5203643637330367
673,i,announce,3,3,0.5203643637330367
674,he,discover,3,3,0.5203643637330367
675,he,serve,3,3,0.5203643637330367
676,he,remember,3,3,0.5203643637330367
677,he,type,3,3,0.5203643637330367
678,he,catch,3,3,0.5203643637330367
679,i,advise,3,3,0.5203643637330367
680,he,treat,3,3,0.5203643637330367
681,he,fire,3,3,0.5203643637330367
682,he,sue,3,3,0.5203643637330367
683,he,place,4,3,0.693819151644049
684,he,mention,4,3,0.693819151644049
685,he,escape,3,3,0.5203643637330367
686,he,receive,4,3,0.693819151644049
687,he,deliver,3,3,0.5203643637330367
688,he,train,3,3,0.5203643637330367
689,he,intend,4,3,0.693819151644049
690,he,manage,3,3,0.5203643637330367
691,i,adapt,3,3,0.5203643637330367
692,he,steal,3,3,0.5203643637330367
693,he,surprise,3,3,0.5203643637330367
694,i,prime,3,2,0.4861719560237572
695,i,suck,2,2,0.32411463734917145
696,she,explore,2,2,0.32411463734917145
697,she,offer,2,2,0.32411463734917145
698,i,pretend,2,2,0.32411463734917145
699,he,offer,2,2,0.32411463734917145
700,i,dial,6,2,0.9723439120475144
701,he,blow,2,2,0.32411463734917145
702,i,submit,3,2,0.4861719560237572
703,i,din,2,2,0.32411463734917145
704,i,preach,3,2,0.4861719560237572
705,i,narrate,2,2,0.32411463734917145
706,i,discuss,2,2,0.32411463734917145
707,i,direct,2,2,0.32411463734917145
708,i,disable,3,2,0.4861719560237572
709,he,name,2,2,0.32411463734917145
710,he,notice,2,2,0.32411463734917145
711,she,challenge,2,2,0.32411463734917145
712,i,hasten,2,2,0.32411463734917145
713,he,earn,3,2,0.4861719560237572
714,i,haunt,2,2,0.32411463734917145
715,i,deserve,2,2,0.32411463734917145
