subject,verb,0
it,kill,15
people,use,15
you,call,15
that,change,15
i,help,15
me,tell,15
we,look,15
who,make,15
it,turn,15
one,marry,15
we,study,15
we,stop,14
what,go,14
you,lose,14
you,read,14
we,leave,14
we,decide,14
you,learn,14
me,show,14
we,imagine,14
he,make,14
they,try,14
she,take,14
we,grow,14
i,wear,14
they,teach,13
i,send,13
we,experience,13
who,use,13
we,discover,13
this,mean,13
we,love,13
he,give,13
i,join,13
i,stop,13
you,bring,13
we,live,13
she,make,13
who,take,13
you,watch,13
they,bring,13
i,sit,13
it,help,13
i,share,13
we,turn,13
they,build,13
it,bring,13
people,get,13
he,write,13
it,come,13
you,look,12
you,choose,12
they,learn,12
who,go,12
you,build,12
i,hate,12
i,miss,12
we,apply,12
that,bring,12
he,start,12
i,stand,12
that,cause,12
they,spend,12
one,have,12
that,say,12
's,take,12
i,invite,12
we,pay,11
we,send,11
we,figure,11
they,leave,11
they,keep,11
this,have,11
this,go,11
we,develop,11
she,want,11
that,keep,11
people,make,11
i,imagine,11
it,show,11
that,tell,11
that,drive,11
they,play,11
i,forget,11
you,saw,11
we,buy,11
we,choose,11
i,buy,11
we,suppose,11
we,set,11
you,share,11
they,create,11
i,change,11
applause,thank,11
i,hold,11
they,be,11
i,talk,10
i,teach,10
that,require,10
they,love,10
you,add,10
i,wish,10
they,like,10
he,put,10
they,help,10
that,need,10
we,reach,10
we,design,10
that,get,10
she,love,10
she,bring,10
we,face,10
that,create,10
it,feel,10
we,expect,10
they,change,10
i,answer,10
it,become,10
it,call,10
i,add,10
you,play,10
i,grow,10
we,raise,9
you,touch,9
we,tend,9
what,happen,9
women,have,9
i,suppose,9
we,work,9
people,say,9
he,saw,9
they,hold,9
i,design,9
that,support,9
i,blow,9
people,go,9
i,blame,9
she,start,9
it,say,9
we,come,9
you,begin,9
it,look,9
they,live,9
we,run,9
people,ask,9
we,evolve,9
we,open,9
i,live,9
them,do,9
which,have,9
we,observe,9
we,stand,9
you,believe,9
people,tell,9
it,provide,8
i,visit,8
we,explore,8
they,sell,8
she,look,8
you,turn,8
i,be,8
people,know,8
who,lose,8
you,experience,8
you,eat,8
it,create,8
they,share,8
they,show,8
he,use,8
he,need,8
i,'s,8
she,ask,8
you,meet,8
who,try,8
who,watch,8
we,support,8
us,do,8
people,think,8
you,kill,8
i,pay,8
i,mention,8
you,keep,8
i,name,8
she,see,8
we,launch,8
they,tend,8
who,tell,8
i,open,8
everyone,have,8
that,show,8
we,eat,8
you,pick,8
i,describe,8
you,open,8
i,interview,8
you,change,8
they,move,8
that,kill,8
i,assure,7
people,start,7
he,like,7
they,seem,7
you,stop,7
that,want,7
it,produce,7
i,carry,7
we,read,7
i,throw,7
you,trigger,7
some,have,7
they,look,7
we,compare,7
you,write,7
he,look,7
i,draw,7
which,mean,7
i,enjoy,7
they,hear,7
they,set,7
that,connect,7
you,reach,7
we,treat,7
all,do,7
who,manage,7
they,buy,7
i,experience,7
i,promise,7
we,watch,7
we,walk,7
you,follow,7
that,break,7
we,visit,7
this,show,7
i,follow,7
we,map,7
she,call,7
we,manage,7
you,mean,7
i,let,7
they,end,7
this,give,7
they,eat,7
we,let,7
you,join,7
it,cost,7
who,help,7
it,see,7
you,spend,7
who,know,7
she,give,7
they,save,7
you,sit,7
me,ask,7
it,require,7
i,figure,7
she,find,7
they,work,6
she,put,6
we,show,6
he,turn,6
we,sit,6
i,speak,6
i,offer,6
people,need,6
she,write,6
i,notice,6
we,remove,6
i,continue,6
that,lead,6
this,make,6
which,bring,6
i,appreciate,6
that,carry,6
she,know,6
we,test,6
i,receive,6
i,drive,6
i,accept,6
he,see,6
that,influence,6
i,found,6
i,pull,6
i,finish,6
who,need,6
that,interest,6
i,build,6
she,like,6
i,encounter,6
i,prefer,6
she,leave,6
they,understand,6
i,save,6
that,build,6
this,bring,6
i,expect,6
she,save,6
me,say,6
we,'s,6
you,plan,6
we,kill,6
you,come,6
that,seem,6
he,kill,6
ants,use,6
we,hold,6
i,train,6
we,deliver,6
it,put,6
glamour,have,6
that,save,6
they,choose,6
everyone,hold,6
we,identify,6
's,do,6
we,discuss,6
we,mean,6
we,measure,6
we,end,6
we,meet,6
i,wait,6
we,fix,6
we,fly,6
you,end,6
it,work,6
we,add,6
's,get,6
you,leave,6
it,happen,6
they,'s,6
they,cover,6
you,suppose,6
that,produce,6
we,predict,6
you,notice,6
we,inject,6
they,decide,6
someone,have,6
bacteria,have,6
you,pay,6
it,begin,5
it,affect,5
we,drive,5
all,have,5
we,invite,5
i,place,5
we,continue,5
somebody,say,5
they,carry,5
they,turn,5
what,make,5
who,understand,5
who,think,5
we,miss,5
all,go,5
who,spend,5
everybody,have,5
this,tell,5
we,write,5
i,convince,5
who,love,5
i,develop,5
this,take,5
which,use,5
you,remember,5
who,speak,5
it,connect,5
they,pass,5
that,inspire,5
he,call,5
he,ask,5
parents,do,5
's,use,5
they,develop,5
one,tell,5
that,come,5
i,lead,5
i,hit,5
us,understand,5
me,take,5
i,manage,5
you,pull,5
they,destroy,5
you,picture,5
they,provide,5
who,say,5
we,consider,5
nothing,go,5
she,begin,5
woman,have,5
it,keep,5
you,run,5
parents,have,5
they,drive,5
i,move,5
one,take,5
it,involve,5
we,help,5
which,tell,5
me,share,5
it,send,5
that,solve,5
it,leave,5
me,do,5
i,happen,5
it,tend,5
you,trust,5
that,inhabit,5
it,grow,5
it,drive,5
people,take,5
that,allow,5
lot,have,5
they,meet,5
he,stop,5
i,trust,5
she,keep,5
you,allow,5
we,feel,5
i,fail,5
she,saw,5
you,teach,5
they,send,5
that,feed,5
he,show,5
i,travel,5
we,place,5
i,push,5
i,eat,5
he,learn,5
we,reduce,5
i,explore,5
i,tap,5
you,compare,5
you,stand,5
he,run,5
you,'s,5
who,build,5
who,give,5
baby,do,5
it,meet,5
you,be,5
you,enjoy,5
we,describe,5
it,save,5
what,get,5
they,grow,5
they,walk,5
we,provide,5
it,find,5
she,sell,5
he,win,5
many,have,5
i,raise,5
we,pull,5
you,enter,5
that,promote,5
i,end,5
they,begin,5
we,prevent,5
we,produce,5
she,change,4
that,suppose,4
she,hold,4
who,come,4
me,start,4
life,have,4
it,enter,4
i,identify,4
what,give,4
she,teach,4
life,go,4
we,explain,4
they,shove,4
she,learn,4
they,recognize,4
she,come,4
that,enable,4
what,excite,4
it,build,4
i,inspire,4
you,talk,4
who,share,4
i,devote,4
that,surround,4
who,see,4
she,live,4
you,wear,4
who,develop,4
we,touch,4
you,throw,4
she,open,4
i,gain,4
we,collect,4
we,gon,4
you,show,4
we,fill,4
men,have,4
i,fell,4
they,beat,4
it,destroy,4
who,miss,4
we,generate,4
she,turn,4
it,reach,4
we,close,4
it,slow,4
god,love,4
they,run,4
we,form,4
we,zoom,4
we,afford,4
you,save,4
who,learn,4
i,become,4
it,hit,4
we,achieve,4
i,grab,4
we,combine,4
we,be,4
we,celebrate,4
she,create,4
you,walk,4
i,explain,4
that,include,4
we,hit,4
what,change,4
i,apply,4
we,connect,4
it,cause,4
you,speak,4
that,hold,4
who,put,4
thing,go,4
government,do,4
i,drop,4
it,represent,4
they,remind,4
we,engineer,4
we,communicate,4
they,receive,4
surgeons,have,4
it,solve,4
you,design,4
i,wash,4
that,benefit,4
we,owe,4
i,record,4
he,follow,4
they,happen,4
both,have,4
they,manage,4
i,connect,4
we,pass,4
he,spend,4
one,find,4
that,affect,4
which,give,4
we,obtain,4
i,wonder,4
he,wear,4
i,question,4
you,express,4
you,fall,4
he,develop,4
they,strike,4
they,offer,4
he,create,4
it,write,4
that,explain,4
we,move,4
they,reach,4
i,present,4
we,seem,4
he,change,4
which,get,4
we,pick,4
it,matter,4
he,love,4
he,live,4
that,provide,4
bacteria,do,4
it,open,4
bacteria,make,4
they,imagine,4
you,carry,4
they,suppose,4
he,play,4
he,pick,4
she,run,4
people,try,4
we,process,4
we,protect,4
i,support,4
they,kill,4
he,leave,4
that,put,4
baby,go,4
we,receive,4
we,deploy,4
we,recognize,4
i,sell,4
it,n't,4
people,see,4
they,hit,4
he,know,4
i,compare,4
i,tend,4
he,keep,4
i,track,4
's,have,4
we,capture,4
he,build,4
people,come,4
nobody,have,4
we,stay,4
i,cut,4
's,say,4
guys,have,4
they,produce,4
that,try,4
i,marry,4
they,deserve,4
we,join,4
that,share,4
i,listen,4
it,stop,4
it,know,4
one,want,4
they,cut,4
we,invent,4
i,calculate,4
they,cross,4
they,treat,4
they,raise,4
me,give,4
me,make,4
mother,take,4
we,consume,4
we,earn,4
i,break,4
you,miss,4
who,support,4
sw,thank,4
it,lead,4
you,hit,4
they,exist,4
they,experience,4
this,produce,4
we,solve,4
she,pull,4
that,live,4
they,fee,4
i,perform,4
spiders,use,4
that,underlie,4
us,create,4
i,cross,4
i,photograph,4
everyone,do,4
i,plan,4
they,enjoy,4
everybody,want,4
he,bring,4
us,find,4
people,continue,4
they,pick,4
one,see,4
we,copy,3
we,enter,3
that,excite,3
we,draw,3
species,have,3
laughter,thank,3
i,check,3
mom,teach,3
we,divide,3
spider,make,3
i,care,3
which,allow,3
what,have,3
she,spend,3
one,get,3
we,define,3
we,dig,3
they,think,3
we,catch,3
she,sleep,3
they,value,3
she,use,3
mom,ask,3
she,sing,3
we,propose,3
they,watch,3
we,maintain,3
we,seek,3
he,choose,3
somebody,have,3
he,carry,3
this,suppose,3
this,start,3
we,shift,3
we,mark,3
that,capture,3
us,buy,3
we,speak,3
this,open,3
life,produce,3
somebody,tell,3
hackers,do,3
everything,have,3
we,stimulate,3
nobody,know,3
him,have,3
we,lay,3
movement,make,3
nobody,see,3
movement,do,3
this,get,3
dolphins,request,3
everybody,know,3
that,blow,3
we,sample,3
we,print,3
he,read,3
we,realize,3
we,pour,3
he,refuse,3
we,recover,3
he,lead,3
that,acknowledge,3
he,join,3
trickster,have,3
he,hit,3
some,go,3
we,release,3
that,add,3
we,remember,3
he,hand,3
he,grow,3
he,teach,3
drives,have,3
we,reveal,3
he,try,3
those,have,3
we,notice,3
vaccines,cause,3
we,suspend,3
she,walk,3
we,fight,3
someone,want,3
they,write,3
we,gain,3
something,happen,3
we,forget,3
i,adapt,3
god,give,3
we,follow,3
i,admire,3
i,afford,3
i,allow,3
we,fee,3
silks,have,3
data,show,3
what,cause,3
we,associate,3
i,approach,3
men,tend,3
mosquitos,have,3
i,argue,3
microbes,have,3
states,have,3
darwin,have,3
we,break,3
we,wish,3
family,have,3
someone,tell,3
family,flee,3
we,introduce,3
guy,come,3
that,control,3
me,introduce,3
someone,make,3
we,target,3
mother,say,3
life,make,3
groups,increase,3
groups,do,3
me,realize,3
eye,see,3
we,program,3
we,track,3
we,train,3
nothing,make,3
humans,have,3
things,go,3
that,design,3
me,want,3
we,heal,3
we,waste,3
hyowon,go,3
he,pay,3
she,feed,3
i,coach,3
they,consume,3
they,pop,3
it,capture,3
i,owe,3
i,pack,3
i,paint,3
it,block,3
it,shape,3
people,feel,3
it,be,3
they,pay,3
people,find,3
it,attack,3
i,prepare,3
it,alter,3
people,join,3
you,solve,3
you,measure,3
i,publish,3
you,marry,3
people,like,3
brain,have,3
that,move,3
you,manage,3
i,recognize,3
i,recommend,3
work,take,3
people,move,3
ant,do,3
workers,do,3
you,let,3
i,not,3
kids,do,3
woman,tell,3
i,n't,3
who,run,3
parents,tell,3
you,set,3
it,design,3
they,believe,3
i,introduce,3
who,show,3
who,start,3
she,catch,3
they,read,3
she,buy,3
it,run,3
she,brush,3
who,transform,3
i,kill,3
you,ride,3
reefs,lose,3
it,cover,3
who,write,3
it,consider,3
you,register,3
region,have,3
you,receive,3
people,begin,3
you,raise,3
people,call,3
woman,say,3
you,provide,3
people,change,3
they,mimic,3
it,strike,3
they,design,3
they,feel,3
i,strike,3
science,do,3
they,fight,3
i,suggest,3
they,figure,3
percent,have,3
they,finish,3
babies,go,3
it,weigh,3
you,control,3
i,transform,3
you,crush,3
i,translate,3
you,forget,3
you,cut,3
you,focus,3
i,treat,3
you,decide,3
that,reach,3
that,respect,3
you,describe,3
they,hand,3
that,receive,3
you,discover,3
you,finish,3
they,force,3
you,fee,3
you,eliminate,3
you,expand,3
you,grow,3
you,happen,3
they,mean,3
you,blame,3
you,laugh,3
it,suppose,3
i,require,3
world,need,3
ants,do,3
people,put,3
that,serve,3
it,teach,3
they,lose,3
journey,take,3
they,let,3
they,drop,3
years,feature,3
you,inherit,3
it,threaten,3
that,scar,3
people,share,3
they,invite,3
jones,tell,3
it,upset,3
you,hold,3
people,tend,3
they,expect,3
you,attempt,3
people,touch,3
that,prevent,3
individual,have,3
they,face,3
you,hate,3
that,start,3
they,prepare,3
we,deserve,3
who,prefer,3
they,spin,3
i,hand,3
which,say,3
it,rain,3
who,happen,3
i,count,3
ones,touch,3
i,guess,3
it,lower,3
companies,have,3
which,make,3
she,miss,3
i,divide,3
who,own,3
who,design,3
it,release,3
i,discount,3
who,live,3
she,hit,3
you,wash,3
it,free,3
who,face,3
which,take,3
she,grab,3
i,define,3
who,let,3
she,gon,3
that,turn,3
who,experience,3
i,handle,3
i,control,3
who,cut,3
i,email,3
it,increase,3
it,impact,3
it,enable,3
i,fear,3
you,value,3
i,dream,3
it,end,3
it,engage,3
which,explain,3
one,look,3
she,decide,3
them,take,3
who,create,3
she,remember,3
who,raise,3
i,enter,3
they,sit,3
who,rent,3
you,wait,3
they,speak,3
that,write,3
i,consider,3
you,stick,3
she,refuse,3
i,fascinate,3
it,include,3
they,shape,3
us,give,2
it,try,2
us,fix,2
infidelity,threaten,2
they,enable,2
system,work,2
it,improve,2
future,hold,2
it,transform,2
us,have,2
that,shape,2
them,survive,2
guys,go,2
it,surround,2
gabriel,blow,2
me,buy,2
that,separate,2
internet,like,2
us,take,2
they,discover,2
minds,generate,2
them,start,2
they,earn,2
that,touch,2
mathematicians,know,2
they,escape,2
men,make,2
it,upload,2
idea,save,2
spiders,make,2
it,log,2
he,bury,2
they,fly,2
he,buy,2
them,change,2
it,mirror,2
that,restore,2
it,miss,2
it,organize,2
it,motivate,2
he,coach,2
squid,have,2
it,move,2
that,work,2
he,come,2
he,decide,2
that,represent,2
that,remind,2
we,deny,2
teachers,tell,2
that,win,2
ice,absorb,2
it,occur,2
they,fix,2
we,cut,2
it,wash,2
taliban,run,2
us,design,2
it,prompt,2
them,read,2
it,initiate,2
they,express,2
it,promote,2
that,transmit,2
friends,love,2
us,use,2
it,vary,2
they,felt,2
mars,lose,2
we,counteract,2
it,learn,2
he,begin,2
he,believe,2
it,want,2
he,blow,2
friends,call,2
them,find,2
we,crochet,2
it,live,2
they,fill,2
gamers,solve,2
they,count,2
it,hold,2
they,catch,2
it,contain,2
girl,start,2
god,notice,2
we,act,2
it,confuse,2
we,block,2
it,conduct,2
god,say,2
they,care,2
it,remind,2
god,start,2
they,challenge,2
it,suck,2
we,accept,2
they,chase,2
it,clean,2
i,witness,2
it,reflect,2
gore,remind,2
it,sell,2
we,bombard,2
that,surprise,2
government,have,2
it,express,2
they,burn,2
god,know,2
we,believe,2
god,go,2
they,appear,2
it,report,2
it,respect,2
that,stop,2
we,assign,2
they,bear,2
we,attribute,2
we,appreciate,2
that,stand,2
we,answer,2
we,avoid,2
god,ask,2
we,analyze,2
it,replace,2
we,bear,2
story,have,2
we,become,2
they,benefit,2
they,allow,2
we,allow,2
they,afford,2
they,adopt,2
they,break,2
waste,report,2
it,redefine,2
governments,go,2
me,paint,2
they,continue,2
that,shock,2
it,gain,2
they,copy,2
groups,set,2
stars,have,2
it,raise,2
it,absorb,2
me,hire,2
star,have,2
it,'s,2
gunner,throw,2
we,cheer,2
it,grip,2
it,emit,2
it,spend,2
that,tend,2
it,spin,2
guy,find,2
me,get,2
guy,sit,2
it,stay,2
surgeon,do,2
video,see,2
group,have,2
it,fight,2
study,show,2
they,claim,2
it,catch,2
it,carve,2
that,spark,2
it,fill,2
we,bust,2
they,absorb,2
me,try,2
it,set,2
we,calculate,2
it,bury,2
it,burn,2
that,span,2
voters,want,2
students,have,2
they,collect,2
it,break,2
that,sound,2
it,realize,2
these,have,2
we,carry,2
it,foster,2
it,sound,2
he,drink,2
they,inspire,2
team,hear,2
i,haunt,2
this,affect,2
humans,come,2
humans,do,2
that,defy,2
things,stop,2
kids,send,2
i,ignore,2
things,start,2
that,invite,2
things,happen,2
they,release,2
that,describe,2
that,deserve,2
i,hide,2
that,detect,2
i,mind,2
that,determine,2
thing,start,2
i,hat,2
thing,have,2
husband,beat,2
they,remain,2
they,remember,2
they,remove,2
that,draw,2
i,a'walking,2
they,require,2
i,gather,2
i,forsake,2
i,force,2
life,do,2
this,begin,2
they,reduce,2
i,influence,2
that,compromise,2
this,help,2
they,process,2
i,memorize,2
this,happen,2
i,measure,2
historians,call,2
i,match,2
i,link,2
they,protect,2
this,fascinate,2
life,teach,2
home,mean,2
they,publish,2
life,take,2
that,continue,2
kids,have,2
i,launch,2
that,lay,2
that,know,2
that,cost,2
kids,love,2
i,justify,2
life,inspire,2
this,change,2
house,have,2
they,record,2
i,intend,2
i,inform,2
they,risk,2
i,achieve,2
i,fix,2
they,socialize,2
that,happen,2
that,enhance,2
i,deserve,2
i,depict,2
i,deny,2
i,denounce,2
i,delete,2
they,transmit,2
they,stand,2
they,transform,2
they,stay,2
i,cry,2
they,stick,2
i,carve,2
i,catch,2
they,train,2
they,stimulate,2
i,crack,2
they,store,2
laughter,have,2
laughter,do,2
i,contact,2
that,form,2
they,study,2
that,follow,2
they,test,2
i,close,2
they,survive,2
i,commission,2
i,dial,2
koreans,have,2
they,sacrifice,2
that,engage,2
they,wind,2
they,win,2
i,adore,2
i,advise,2
they,saw,2
that,embed,2
that,emit,2
that,increase,2
i,express,2
i,approve,2
that,improve,2
i,assemble,2
i,examine,2
i,assign,2
they,separate,2
king,have,2
they,wave,2
i,engage,2
i,encourage,2
i,earn,2
i,dump,2
they,sing,2
that,hit,2
i,bear,2
i,beat,2
they,size,2
i,doubt,2
that,encourage,2
i,direct,2
i,mess,2
they,prevent,2
he,earn,2
i,sing,2
i,stay,2
he,mutilate,2
he,name,2
he,pass,2
they,influence,2
that,face,2
i,squeeze,2
males,have,2
i,solve,2
he,possess,2
he,pull,2
majority,put,2
that,play,2
he,raise,2
i,sign,2
this,lead,2
they,join,2
they,laugh,2
they,lay,2
he,remember,2
he,report,2
they,lead,2
he,represent,2
i,seize,2
that,absorb,2
i,seem,2
i,seek,2
he,set,2
i,rise,2
he,shake,2
man,have,2
he,move,2
i,stockpile,2
that,propel,2
i,weave,2
he,end,2
i,waste,2
he,expect,2
i,wake,2
he,explain,2
many,give,2
i,visualize,2
many,do,2
they,hang,2
jazeera,show,2
i,tweet,2
he,hide,2
they,hate,2
he,hold,2
he,inject,2
he,invite,2
i,touch,2
i,tear,2
he,lay,2
i,swallow,2
jenipher,have,2
they,hurt,2
he,let,2
that,pull,2
they,ignore,2
i,suck,2
they,impact,2
that,protect,2
he,share,2
that,adapt,2
he,shoot,2
they,open,2
i,project,2
i,produce,2
that,match,2
kid,go,2
i,portray,2
kid,have,2
i,plug,2
that,burn,2
i,pitch,2
they,plan,2
this,shift,2
this,seem,2
this,say,2
i,picture,2
this,save,2
that,look,2
i,pass,2
her,push,2
this,provide,2
that,line,2
that,celebrate,2
they,post,2
i,obsess,2
i,observe,2
that,claim,2
that,climb,2
that,leave,2
this,leave,2
that,combine,2
this,teach,2
i,propose,2
i,revisit,2
that,mimic,2
that,orbit,2
lot,think,2
i,resent,2
he,speak,2
i,represent,2
he,stand,2
i,report,2
they,mention,2
i,remove,2
thousands,saw,2
that,apply,2
that,ask,2
he,surprise,2
that,offer,2
jy,thank,2
he,think,2
that,become,2
that,beg,2
they,notice,2
that,begin,2
i,recite,2
he,visit,2
that,bind,2
i,re,2
he,watch,2
those,build,2
i,quit,2
they,observe,2
this,turn,2
i,contribute,2
it,offer,2
species,use,2
others,find,2
she,marry,2
column,show,2
who,blame,2
who,bring,2
colony,manage,2
colony,have,2
who,call,2
who,choose,2
who,code,2
who,commit,2
she,lay,2
one,go,2
clouds,slow,2
clouds,seem,2
clouds,save,2
she,hear,2
who,dream,2
clouds,block,2
who,feel,2
she,force,2
who,hat,2
clams,have,2
who,assist,2
who,ask,2
who,afford,2
she,mean,2
one,like,2
conversation,have,2
conversation,go,2
one,meet,2
which,help,2
which,include,2
which,increase,2
one,run,2
which,involve,2
she,realize,2
she,read,2
she,reach,2
she,point,2
which,reflect,2
which,send,2
she,pay,2
which,surround,2
companies,do,2
white,write,2
she,meet,2
who,accept,2
who,hate,2
who,hear,2
city,have,2
who,sell,2
she,collect,2
who,shape,2
she,choose,2
who,sit,2
she,chase,2
she,carry,2
particles,have,2
who,suffer,2
who,train,2
who,turn,2
who,undertake,2
who,wait,2
she,belong,2
who,win,2
who,work,2
she,become,2
she,allow,2
winners,get,2
cat,leave,2
shame,survive,2
cat,bat,2
child,ask,2
she,compare,2
who,inspire,2
child,have,2
panbanisha,try,2
who,lead,2
who,leave,2
who,like,2
she,dig,2
parents,buy,2
who,play,2
who,pledge,2
who,popularize,2
who,produce,2
children,need,2
children,go,2
children,give,2
children,get,2
who,read,2
she,cover,2
who,remember,2
parents,take,2
who,request,2
child,see,2
child,learn,2
coral,do,2
which,carry,2
woman,make,2
we,secure,2
we,report,2
we,require,2
we,rescue,2
we,restore,2
we,return,2
we,risk,2
we,sacrifice,2
we,scale,2
we,scan,2
we,scratch,2
dolphin,mimic,2
country,have,2
doing,make,2
nile,use,2
we,sign,2
we,slow,2
we,speculate,2
we,spell,2
nobody,get,2
diver,have,2
sister,twin,2
we,strengthen,2
we,replicate,2
some,build,2
we,rely,2
each,tell,2
engineers,have,2
engineers,change,2
engineering,use,2
we,practice,2
we,present,2
we,pretend,2
muslims,invent,2
emma,need,2
we,project,2
some,say,2
we,publish,2
we,purchase,2
we,push,2
einstein,sing,2
some,remember,2
we,rally,2
we,reclaim,2
we,recruit,2
we,redefine,2
we,reject,2
earth,have,2
we,strip,2
we,struggle,2
director,ask,2
what,drive,2
dad,teach,2
she,try,2
dad,have,2
she,transform,2
what,need,2
she,throw,2
she,think,2
she,thank,2
what,seem,2
what,start,2
one,ask,2
what,take,2
she,stop,2
what,trouble,2
what,turn,2
creativity,survive,2
whatever,block,2
which,ask,2
she,show,2
one,do,2
she,set,2
darwin,appreciate,2
darwin,say,2
we,stumble,2
what,constitute,2
nobody,tell,2
nobody,understand,2
we,surround,2
we,tag,2
signature,miss,2
we,throw,2
we,trace,2
we,transcend,2
we,transform,2
we,travel,2
designers,have,2
we,trust,2
we,view,2
we,visualize,2
we,wait,2
we,win,2
sheet,lose,2
she,wield,2
what,bring,2
observer,see,2
data,help,2
woman,do,2
woman,take,2
we,pluck,2
you,place,2
you,lend,2
you,live,2
anesthesia,give,2
anderson,thank,2
you,mention,2
you,mind,2
you,name,2
platforms,give,2
you,oppress,2
you,pass,2
you,poke,2
you,frame,2
you,polish,2
you,press,2
you,produce,2
you,program,2
you,project,2
you,protect,2
you,push,2
you,question,2
all,put,2
all,leave,2
ant,meet,2
ant,touch,2
ant,use,2
you,launch,2
robot,take,2
anyone,want,2
robot,choose,2
you,help,2
you,hire,2
anyone,download,2
picture,contain,2
anybody,see,2
you,ignore,2
anybody,make,2
you,impact,2
you,improve,2
you,increase,2
you,inform,2
any,have,2
anxiety,release,2
you,invent,2
ants,make,2
ants,have,2
you,kid,2
ants,'s,2
you,realize,2
you,recycle,2
you,reject,2
you,trace,2
you,view,2
you,wake,2
.,have,2
you,witness,2
you,work,2
's,understand,2
's,try,2
price,measure,2
's,start,2
's,see,2
's,put,2
proteins,come,2
zero,want,2
project,take,2
's,find,2
's,finance,2
♫,bring,2
♫,buy,2
project,have,2
's,call,2
♫,marry,2
you,type,2
you,tend,2
you,release,2
administration,create,2
you,remove,2
you,represent,2
you,rob,2
you,seal,2
police,make,2
you,seem,2
you,sew,2
police,stop,2
record,leave,2
you,shift,2
air,harm,2
reason,have,2
you,shut,2
politicians,spout,2
you,squeeze,2
you,stay,2
you,stimulate,2
you,stretch,2
you,strip,2
position,have,2
radar,reveal,2
phone,ring,2
architects,love,2
woman,work,2
world,have,2
boys,teach,2
work,show,2
workers,have,2
both,save,2
workers,put,2
people,offer,2
workers,take,2
people,pay,2
bora,understand,2
people,play,2
world,spend,2
you,form,2
people,read,2
people,receive,2
scientists,have,2
blue,remember,2
people,seem,2
you,accept,2
you,achieve,2
you,afford,2
people,stop,2
people,suppose,2
people,look,2
people,live,2
work,do,2
people,leave,2
cancer,seem,2
cancer,arise,2
people,die,2
ca,thank,2
women,get,2
business,have,2
people,exchange,2
people,experience,2
women,line,2
people,face,2
women,love,2
women,need,2
women,run,2
people,give,2
women,start,2
women,tell,2
women,tend,2
people,hear,2
people,help,2
breeders,use,2
people,learn,2
you,answer,2
you,apply,2
biologists,create,2
performer,make,2
you,damage,2
you,define,2
person,do,2
you,deny,2
person,have,2
astronomers,find,2
astronomers,call,2
you,download,2
you,draw,2
you,drive,2
you,earn,2
you,edit,2
you,empower,2
you,encounter,2
person,take,2
person,think,2
you,fear,2
you,felt,2
you,fight,2
you,fill,2
you,fix,2
person,begin,2
you,copy,2
you,approach,2
percent,send,2
beings,need,2
beings,copy,2
scientist,tell,2
people,understand,2
science,tell,2
people,watch,2
balls,stop,2
you,breathe,2
you,burn,2
bacterium,have,2
you,care,2
