subject,verb,0
me,give,37
we,set,36
that,help,36
i,create,36
you,pay,36
i,work,35
i,hope,35
you,write,35
you,expect,35
we,measure,35
she,go,34
he,find,34
we,come,34
i,choose,34
you,move,34
who,take,34
that,drive,33
i,lose,33
he,ask,33
we,talk,33
we,write,33
people,ask,33
you,show,33
it,work,33
it,show,33
they,keep,33
you,play,33
they,think,33
you,help,32
you,watch,32
we,share,32
that,keep,32
i,teach,32
i,move,32
she,want,32
i,walk,32
applause,thank,32
which,mean,32
i,end,31
it,try,31
who,use,31
people,go,31
we,send,31
we,buy,31
we,add,31
we,work,31
he,call,31
you,spend,31
it,come,31
's,do,31
who,go,30
i,add,30
it,bring,30
you,lose,30
i,mention,30
i,set,30
we,pay,30
we,play,30
i,felt,30
we,train,30
it,become,30
i,send,29
we,stop,29
we,experience,29
percent,have,29
we,save,29
that,cause,29
we,choose,29
that,show,29
we,move,29
i,expect,29
we,apply,28
i,develop,28
it,say,28
i,change,28
i,share,28
they,begin,28
people,say,28
you,come,28
i,forget,28
we,predict,27
that,seem,27
i,run,27
they,come,27
you,pick,27
i,talk,27
that,affect,27
it,produce,27
he,know,27
we,help,27
people,think,27
they,seem,26
they,form,26
you,send,26
we,grow,26
i,open,26
it,help,26
we,end,26
that,start,26
they,understand,26
we,study,26
we,launch,26
we,treat,26
that,try,26
we,produce,26
i,explain,26
you,love,26
you,believe,25
it,leave,25
i,invite,25
they,decide,25
i,hate,25
they,lose,25
that,enable,25
i,pay,25
we,open,25
you,choose,25
they,show,25
i,design,25
he,use,25
you,notice,25
you,open,25
one,do,24
that,lead,24
who,need,24
you,stop,24
everybody,have,24
you,end,24
he,turn,24
we,reach,24
you,recognize,24
you,leave,24
this,give,24
i,describe,24
she,get,24
it,feel,24
's,try,24
they,change,24
people,get,24
who,tell,24
who,try,23
they,sell,23
we,expect,23
people,make,23
i,thank,23
we,cut,23
they,spend,23
she,take,23
he,try,23
i,stop,22
we,feel,22
i,suppose,22
they,hear,22
people,see,22
it,affect,22
we,meet,22
what,make,22
you,enjoy,22
some,have,22
they,turn,22
that,produce,22
i,imagine,22
they,send,22
they,be,22
that,put,22
this,take,22
you,figure,21
it,cause,21
that,turn,21
he,see,21
we,test,21
many,have,21
we,live,21
i,offer,21
us,do,21
i,draw,21
that,include,21
it,see,21
you,hit,21
she,give,21
he,lose,21
you,cut,21
i,drive,21
people,take,20
i,experience,20
i,live,20
we,fix,20
we,be,20
we,continue,20
i,throw,20
they,look,20
each,have,20
that,require,20
i,grow,20
i,figure,20
it,remind,20
i,wish,20
who,like,20
it,call,20
they,play,20
i,pull,20
she,tell,20
he,bring,20
i,hold,20
it,want,20
we,push,20
we,raise,20
that,kill,20
we,sell,20
he,saw,20
that,allow,20
this,do,19
i,miss,19
you,teach,19
you,treat,19
i,sit,19
we,watch,19
we,win,19
it,keep,19
you,break,19
i,become,19
you,eat,19
she,find,19
it,represent,19
it,begin,19
they,teach,19
all,have,19
they,produce,19
we,consider,19
he,come,19
they,stop,19
that,say,19
i,finish,19
i,let,19
we,drive,18
i,be,18
i,help,18
i,receive,18
i,encourage,18
which,make,18
we,read,18
you,design,18
this,show,18
you,solve,18
that,hold,18
that,build,18
i,notice,18
they,write,18
we,pull,18
we,tend,18
we,fly,18
i,wear,18
you,measure,18
it,build,18
it,enable,18
's,have,18
it,lead,17
she,start,17
i,happen,17
they,help,17
he,build,17
we,follow,17
it,happen,17
it,put,17
i,cut,17
we,shoot,17
you,drive,17
they,leave,17
we,reduce,17
it,open,17
we,realize,17
i,join,17
i,enjoy,17
he,look,17
who,see,17
we,manage,17
people,try,17
you,suppose,17
you,throw,17
who,lose,16
i,follow,16
they,live,16
you,pull,16
i,consider,16
that,involve,16
it,hit,16
i,cover,16
you,apply,16
you,compare,16
you,burn,16
we,control,16
i,discover,16
who,give,16
he,pull,16
they,eat,16
they,develop,16
it,find,16
people,like,16
who,start,16
you,control,16
i,touch,16
they,choose,16
she,make,16
he,keep,16
i,promise,16
we,pick,16
you,wear,16
who,run,16
one,see,16
everyone,have,16
she,try,15
what,happen,15
you,touch,15
we,form,15
you,meet,15
we,collect,15
that,control,15
they,read,15
which,give,15
he,show,15
i,visit,15
one,go,15
what,cause,15
you,'s,15
we,value,15
they,throw,15
i,sell,15
you,be,15
people,tell,15
they,love,15
you,hold,15
me,do,15
that,define,15
you,begin,15
me,take,15
they,saw,15
i,hat,15
which,take,15
we,transform,15
we,achieve,15
i,manage,14
we,finish,14
i,invent,14
i,gon,14
i,hire,14
we,offer,14
you,grow,14
we,hit,14
people,know,14
i,close,14
you,experience,14
one,tell,14
we,let,14
i,'s,14
we,invent,14
people,come,14
i,appreciate,14
who,create,14
he,like,14
it,break,14
world,have,14
we,enter,14
it,provide,14
who,say,14
we,approach,14
we,suppose,14
you,raise,14
we,analyze,14
it,send,14
it,involve,14
that,contain,14
they,tend,14
we,compare,14
that,see,14
we,connect,14
we,afford,14
it,allow,14
i,speak,14
it,’s,14
i,raise,14
it,hurt,14
we,throw,14
's,make,14
you,catch,14
you,roll,14
we,track,14
it,raise,14
that,represent,14
we,believe,14
we,accept,14
who,build,14
it,know,14
that,carry,14
i,catch,13
i,witness,13
they,move,13
we,encourage,13
we,address,13
we,ignore,13
you,consider,13
world,need,13
i,hit,13
we,seem,13
you,join,13
they,run,13
we,explore,13
we,pass,13
they,'s,13
we,perceive,13
you,stick,13
we,map,13
you,walk,13
people,need,13
we,recognize,13
that,stop,13
this,make,13
we,hold,13
i,fly,13
everybody,know,13
we,store,13
it,require,13
we,provide,13
i,hop,12
it,move,12
you,view,12
it,drive,12
who,play,12
this,use,12
this,tell,12
it,sound,12
i,eat,12
you,reverse,12
he,begin,12
you,fly,12
me,try,12
we,generate,12
who,put,12
they,experience,12
they,wear,12
that,end,12
that,explain,12
they,drive,12
it,stop,12
they,discover,12
this,lead,12
we,combine,12
they,share,12
you,win,12
that,inspire,12
it,kill,12
which,use,12
you,sell,12
who,study,12
they,provide,12
we,invest,12
you,download,12
you,realize,12
i,remind,12
you,draw,12
that,want,12
everybody,do,12
we,fight,12
which,go,12
who,write,12
they,pick,12
he,understand,12
you,push,12
they,kill,12
us,understand,12
we,fail,12
we,evolve,12
we,eat,12
i,shoot,12
who,change,12
we,eliminate,12
i,present,12
us,make,12
they,mean,12
i,save,12
you,click,11
we,construct,11
someone,get,11
they,work,11
things,go,11
it,save,11
me,get,11
that,describe,11
people,find,11
laughter,thank,11
they,believe,11
she,bring,11
it,reach,11
you,follow,11
we,view,11
we,break,11
you,carry,11
you,name,11
you,trust,11
's,call,11
many,know,11
i,quit,11
you,fill,11
we,hire,11
it,continue,11
who,share,11
who,teach,11
who,love,11
this,bring,11
he,spend,11
you,miss,11
you,remove,11
them,do,11
that,work,11
that,save,11
they,follow,11
he,leave,11
that,know,11
that,leave,11
people,put,11
we,enjoy,11
i,wait,11
he,decide,11
i,lead,11
we,'s,11
she,use,11
it,solve,11
he,hear,11
we,plan,11
you,share,11
i,stick,11
it,inspire,11
you,appreciate,11
he,read,11
they,agree,11
that,provide,11
they,carry,11
you,produce,11
they,feel,11
you,let,11
they,face,11
he,need,11
it,set,11
we,imagine,11
i,approach,11
we,gain,11
that,happen,11
system,have,11
what,drive,10
you,finish,10
which,bring,10
you,drop,10
everyone,want,10
it,hold,10
it,let,10
we,hope,10
it,pass,10
you,enter,10
us,see,10
i,carry,10
one,want,10
it,run,10
it,strike,10
's,put,10
we,kill,10
it,learn,10
many,see,10
she,know,10
that,begin,10
you,develop,10
i,blow,10
they,become,10
people,love,10
they,save,10
they,walk,10
something,happen,10
you,manage,10
guys,have,10
we,cover,10
they,suppose,10
i,record,10
we,record,10
they,force,10
india,have,10
we,present,10
they,watch,10
who,ask,10
you,save,10
he,teach,10
we,release,10
some,know,10
he,think,10
he,design,10
anybody,do,10
we,embrace,10
you,live,10
i,recommend,10
it,weigh,10
it,contain,10
somebody,have,10
you,fold,10
they,launch,10
you,type,10
i,place,10
i,drop,10
that,come,10
he,send,10
you,mean,10
this,get,10
i,solve,10
that,cost,10
we,miss,10
you,happen,10
you,study,10
who,help,10
i,photograph,10
i,paint,10
he,play,9
we,explain,9
we,extract,9
he,speak,9
we,inspire,9
she,see,9
everyone,do,9
she,saw,9
they,manage,9
you,charge,9
you,check,9
we,fill,9
you,care,9
they,invent,9
they,represent,9
they,open,9
you,allow,9
we,become,9
most,have,9
this,represent,9
who,happen,9
we,capture,9
we,beat,9
this,happen,9
things,start,9
they,design,9
things,have,9
me,put,9
you,decide,9
we,identify,9
they,trust,9
they,touch,9
you,cover,9
they,solve,9
they,burn,9
they,gain,9
we,detect,9
they,require,9
they,grow,9
he,describe,9
we,force,9
we,draw,9
i,allow,9
they,pay,9
they,own,9
he,mean,9
we,happen,9
everyone,see,9
we,place,9
it,generate,9
that,understand,9
i,organize,9
that,generate,9
that,form,9
you,kill,9
you,sit,9
you,smell,9
which,seem,9
that,design,9
nobody,have,9
that,cover,9
you,talk,9
i,found,9
i,force,9
one,take,9
who,develop,9
we,mean,9
it,eat,9
it,suppose,9
kids,have,9
i,pass,9
i,plan,9
we,receive,9
that,send,9
people,understand,9
you,program,9
i,suspect,9
people,watch,9
one,make,9
we,seek,9
we,remember,9
i,type,9
that,move,9
i,wake,9
we,sequence,9
i,win,9
that,teach,9
i,push,9
i,propose,9
who,buy,9
that,prevent,9
we,walk,9
i,stand,9
which,get,9
we,invite,9
i,check,9
i,collect,9
it,matter,9
they,allow,9
's,go,9
it,reduce,9
it,increase,9
i,convince,9
we,prevent,8
's,face,8
we,deliver,8
art,change,8
they,sacrifice,8
you,face,8
kids,go,8
we,sit,8
you,set,8
they,remember,8
people,seem,8
i,prefer,8
we,protect,8
that,power,8
us,use,8
it,pay,8
world,go,8
we,focus,8
he,open,8
that,excite,8
they,hold,8
guy,have,8
that,face,8
's,get,8
everybody,get,8
they,speak,8
one,say,8
guys,go,8
that,fit,8
i,measure,8
that,follow,8
you,calculate,8
i,argue,8
who,live,8
we,distribute,8
people,begin,8
you,accept,8
you,achieve,8
people,give,8
he,kill,8
you,predict,8
he,learn,8
everything,have,8
that,shape,8
i,suggest,8
he,propose,8
we,expand,8
that,set,8
you,reach,8
she,come,8
i,struggle,8
they,measure,8
he,hold,8
he,shoot,8
you,place,8
it,'s,8
they,reach,8
we,publish,8
that,pull,8
she,ask,8
that,raise,8
people,buy,8
that,reflect,8
who,own,8
everybody,want,8
you,pass,8
it,push,8
he,run,8
he,grab,8
we,recover,8
who,invent,8
you,light,8
she,stop,8
it,lose,8
they,earn,8
they,end,8
it,transform,8
that,connect,8
person,have,8
we,carry,8
they,expect,8
they,fail,8
we,catch,8
we,notice,8
somebody,go,8
they,achieve,8
what,do,8
people,pay,8
it,cover,8
i,fill,8
women,have,8
we,breathe,8
who,spend,8
it,describe,8
it,design,8
they,buy,8
nobody,want,8
you,explain,8
it,end,8
you,force,8
we,avoid,8
future,go,8
it,fit,8
it,force,8
it,form,8
this,create,8
who,understand,8
it,blow,8
they,figure,8
that,destroy,8
that,cut,8
we,check,8
who,seek,8
that,deliver,8
nature,have,8
i,guess,8
someone,have,8
i,grab,8
that,detect,7
it,enhance,7
you,stay,7
's,build,7
some,go,7
which,cause,7
i,treat,7
that,call,7
he,invent,7
we,select,7
all,get,7
that,fee,7
what,have,7
that,catch,7
i,urge,7
this,turn,7
countries,have,7
it,evolve,7
he,live,7
we,replace,7
who,afford,7
we,wear,7
we,roll,7
me,introduce,7
we,announce,7
you,afford,7
's,watch,7
who,remember,7
you,wire,7
guys,do,7
which,do,7
we,convert,7
one,give,7
it,suck,7
it,figure,7
that,encourage,7
i,test,7
you,stand,7
some,do,7
you,replace,7
robot,have,7
she,leave,7
all,do,7
somebody,say,7
we,allow,7
that,hit,7
you,shoot,7
that,open,7
that,offer,7
she,read,7
that,motivate,7
we,destroy,7
percent,get,7
they,sing,7
we,define,7
it,play,7
that,influence,7
that,look,7
they,serve,7
that,link,7
that,like,7
it,pick,7
who,seem,7
who,watch,7
who,raise,7
nobody,know,7
it,protect,7
they,sense,7
we,trust,7
he,draw,7
parents,have,7
we,burn,7
we,shape,7
they,push,7
he,develop,7
everybody,see,7
we,calculate,7
they,raise,7
it,spread,7
you,train,7
this,help,7
they,win,7
he,create,7
we,discuss,7
who,find,7
we,embed,7
he,work,7
i,not,7
i,explore,7
you,gain,7
that,transform,7
that,track,7
they,control,7
kids,get,7
they,connect,7
you,mind,7
we,program,7
i,introduce,7
you,fix,7
you,fit,7
you,multiply,7
he,sit,7
they,collect,7
you,not,7
i,quote,7
people,learn,7
i,recognize,7
they,cause,7
that,surround,7
we,prefer,7
i,name,7
i,continue,7
i,fight,7
i,intend,7
i,ignore,7
you,introduce,7
you,invent,7
you,connect,7
you,increase,7
they,hit,7
we,organize,7
we,plant,7
i,guarantee,7
you,ignore,7
anyone,have,7
them,make,7
you,lay,7
you,heat,7
we,plot,7
we,practice,7
we,hate,7
you,combine,7
he,throw,7
they,die,7
we,lay,7
i,post,7
i,interview,7
we,improve,7
i,split,7
i,roll,7
music,have,7
he,pick,7
people,believe,7
i,capture,7
that,solve,7
i,apply,7
i,accept,7
we,extend,7
we,remove,7
they,draw,6
it,predict,6
they,detect,6
you,tear,6
i,forgive,6
you,encounter,6
who,work,6
you,tend,6
we,n't,6
you,test,6
i,challenge,6
nasa,have,6
they,evolve,6
we,grab,6
we,not,6
they,enjoy,6
we,touch,6
it,cool,6
it,cut,6
man,have,6
people,hate,6
people,hear,6
we,gather,6
you,drink,6
i,inspire,6
you,steal,6
anybody,have,6
thing,go,6
we,confront,6
she,call,6
she,eat,6
it,be,6
you,inject,6
someone,go,6
we,own,6
technology,want,6
which,represent,6
nasa,do,6
we,owe,6
we,surround,6
's,ask,6
you,dream,6
i,break,6
somebody,take,6
i,attempt,6
which,require,6
people,play,6
we,operate,6
it,think,6
you,define,6
one,write,6
we,increase,6
we,lead,6
you,detect,6
it,occur,6
what,interest,6
it,follow,6
i,dig,6
they,adopt,6
i,demonstrate,6
we,access,6
people,experience,6
who,think,6
people,leave,6
brain,have,6
me,make,6
i,fell,6
what,give,6
you,work,6
what,get,6
they,add,6
i,count,6
me,say,6
it,grow,6
it,improve,6
it,include,6
us,create,6
's,see,6
us,build,6
it,serve,6
mary,have,6
you,desire,6
most,do,6
she,write,6
children,have,6
this,require,6
that,challenge,6
us,solve,6
you,generate,6
i,answer,6
howard,do,6
it,teach,6
we,match,6
they,cut,6
you,forget,6
i,afford,6
we,implement,6
that,bind,6
they,continue,6
we,violate,6
we,visit,6
you,describe,6
asteroid,kill,6
's,give,6
those,have,6
i,admire,6
company,do,6
us,have,6
us,take,6
work,have,6
group,have,6
they,replace,6
we,feed,6
people,spend,6
people,call,6
who,break,6
that,protect,6
who,bring,6
which,try,6
we,ship,6
they,recognize,6
people,share,6
that,process,6
we,project,6
ca,thank,6
that,play,6
they,set,6
i,practice,6
we,simulate,6
that,measure,6
he,become,6
we,print,6
he,be,6
lot,have,6
we,film,6
who,leave,6
i,own,6
script,represent,6
he,talk,6
you,seem,6
we,serve,6
i,wonder,6
you,blow,6
he,explain,6
they,offer,6
country,have,6
he,meet,6
you,promise,6
you,approach,6
he,point,6
you,press,6
you,present,6
he,reach,6
you,reduce,6
he,invite,6
you,pour,6
i,shift,6
we,engineer,6
they,pass,6
we,fear,6
you,plug,6
you,picture,6
all,go,6
you,perceive,6
i,return,6
that,remind,6
i,research,6
people,build,6
i,repeat,6
kids,do,6
they,prefer,6
you,serve,6
we,sign,6
they,support,6
which,show,6
they,steal,6
you,commit,6
son,have,6
africa,have,6
who,kill,6
that,fill,6
they,talk,6
he,wear,6
we,steal,6
we,stay,6
i,mix,6
who,receive,6
he,win,6
we,fold,6
they,test,6
chris,ask,6
that,eat,6
they,treat,6
we,count,6
who,read,6
i,kill,6
they,hire,6
we,consume,6
we,spread,6
they,inspire,6
you,listen,6
you,shine,6
that,improve,6
i,n't,6
you,shake,6
you,interact,6
she,build,5
which,create,5
which,hold,5
one,get,5
we,repeat,5
one,find,5
we,recreate,5
we,support,5
we,engage,5
we,isolate,5
we,involve,5
who,experience,5
we,close,5
we,fee,5
we,lack,5
we,require,5
we,reveal,5
which,happen,5
which,blow,5
we,reorganize,5
we,rotate,5
what,use,5
we,scan,5
we,click,5
we,judge,5
we,rent,5
science,tell,5
nobody,do,5
we,commission,5
we,submit,5
we,strive,5
we,erase,5
what,turn,5
we,subsidize,5
mother,say,5
who,speak,5
we,implant,5
we,clean,5
which,produce,5
we,prove,5
robot,do,5
we,forget,5
we,wait,5
we,bear,5
cars,go,5
we,cross,5
we,lower,5
who,design,5
we,sing,5
one,put,5
nobody,call,5
we,deploy,5
we,unveil,5
we,demand,5
which,tell,5
we,deal,5
we,preserve,5
we,monitor,5
we,spin,5
we,link,5
we,celebrate,5
we,dislike,5
who,keep,5
we,copy,5
we,investigate,5
we,educate,5
one,know,5
which,lead,5
scientists,tell,5
who,lead,5
we,drop,5
we,stand,5
who,pay,5
we,adopt,5
none,go,5
we,pursue,5
we,dream,5
we,shift,5
most,take,5
which,turn,5
we,synthesize,5
we,hop,5
we,examine,5
it,remove,5
these,go,5
he,seem,5
he,sell,5
he,set,5
people,carry,5
they,let,5
people,change,5
he,stop,5
percent,give,5
they,invite,5
they,introduce,5
you,scale,5
you,close,5
he,touch,5
life,have,5
he,walk,5
people,deserve,5
you,construct,5
that,promise,5
that,read,5
they,gon,5
they,generate,5
states,have,5
they,fly,5
people,discover,5
that,recognize,5
you,cure,5
all,change,5
they,enter,5
that,replace,5
you,release,5
you,breathe,5
that,manufacture,5
it,bounce,5
people,bring,5
you,strike,5
you,store,5
he,change,5
they,release,5
they,reduce,5
he,cover,5
they,receive,5
you,stack,5
he,die,5
they,publish,5
it,accelerate,5
you,spin,5
they,present,5
he,feel,5
islam,mean,5
he,figure,5
you,speak,5
that,draw,5
species,have,5
he,love,5
that,feed,5
that,guide,5
they,model,5
you,assign,5
they,miss,5
he,realize,5
you,select,5
they,meet,5
you,avoid,5
i,trust,5
people,enjoy,5
i,travel,5
all,make,5
i,enter,5
you,gon,5
that,surprise,5
you,operate,5
you,offer,5
i,fascinate,5
you,guess,5
i,film,5
you,hate,5
i,fire,5
anyone,tell,5
i,form,5
you,n't,5
that,threaten,5
i,press,5
i,predict,5
anyone,do,5
i,pose,5
i,hand,5
i,plant,5
i,pitch,5
you,mention,5
i,paste,5
i,jump,5
that,underlie,5
kids,make,5
you,lift,5
i,light,5
that,weigh,5
you,own,5
that,suppose,5
i,email,5
that,separate,5
people,express,5
i,tend,5
i,abandon,5
they,break,5
people,feel,5
i,adore,5
people,fill,5
all,start,5
i,strike,5
that,scar,5
i,step,5
i,assure,5
that,sell,5
you,email,5
i,drink,5
i,serve,5
they,answer,5
that,spread,5
they,affect,5
people,keep,5
they,accept,5
you,fail,5
i,ride,5
that,study,5
that,suck,5
people,live,5
people,lose,5
i,download,5
it,understand,5
i,marry,5
's,start,5
it,sell,5
me,start,5
it,cross,5
me,want,5
someone,put,5
universe,have,5
it,free,5
you,transform,5
this,pass,5
brain,do,5
it,sit,5
thousands,go,5
lot,see,5
they,wire,5
this,say,5
some,see,5
it,shut,5
she,sit,5
that,blow,5
somebody,do,5
you,wait,5
that,become,5
it,fail,5
it,n't,5
it,shape,5
you,witness,5
it,miss,5
somebody,tell,5
me,keep,5
this,allow,5
government,have,5
someone,bring,5
it,determine,5
it,match,5
me,describe,5
she,put,5
you,survive,5
she,look,5
she,lose,5
lot,want,5
it,recognize,5
you,switch,5
it,invent,5
brain,tell,5
it,challenge,5
that,'s,5
it,reveal,5
guy,go,5
she,like,5
guy,get,5
it,connect,5
it,slow,5
person,know,5
they,vote,5
it,burn,5
this,start,5
this,seem,5
body,have,5
it,release,5
that,address,5
that,confront,5
that,constitute,5
she,reach,5
i,scan,4
it,motivate,4
i,rotate,4
we,rid,4
what,call,4
i,stay,4
we,redesign,4
what,excite,4
what,create,4
i,steal,4
kid,get,4
that,sound,4
i,sleep,4
i,sneak,4
that,stimulate,4
team,have,4
we,re,4
we,reconstruct,4
city,have,4
it,power,4
i,reach,4
that,tend,4
i,publish,4
it,prevent,4
i,produce,4
it,process,4
technology,go,4
technology,bring,4
technology,have,4
it,rain,4
we,process,4
i,observe,4
it,remember,4
which,drive,4
refugees,have,4
what,take,4
it,point,4
what,strike,4
technology,enable,4
i,ring,4
what,keep,4
we,recall,4
we,rebuild,4
what,lead,4
i,represent,4
what,need,4
rest,have,4
i,reject,4
nothing,do,4
number,go,4
what,put,4
what,seem,4
i,refuse,4
what,shape,4
i,strive,4
it,grab,4
that,run,4
it,tie,4
dad,have,4
that,fascinate,4
constraints,boost,4
it,control,4
that,feel,4
computer,do,4
that,increase,4
that,indicate,4
it,count,4
nobody,see,4
that,infect,4
jobs,go,4
that,collect,4
we,translate,4
that,let,4
we,transplant,4
that,maintain,4
that,empower,4
it,consider,4
we,thank,4
it,capture,4
it,block,4
it,benefit,4
nobody,hear,4
we,switch,4
we,suffer,4
it,ask,4
nobody,go,4
we,tackle,4
we,steer,4
it,carry,4
that,determine,4
it,adjust,4
it,clean,4
that,direct,4
it,achieve,4
it,absorb,4
it,damage,4
that,characterize,4
i,support,4
it,tend,4
we,shake,4
that,reduce,4
i,wind,4
i,warn,4
we,sense,4
it,stick,4
we,weigh,4
that,resemble,4
i,translate,4
i,tilt,4
robots,have,4
companies,make,4
i,tap,4
i,switch,4
it,lack,4
we,zoom,4
companies,build,4
that,record,4
it,fix,4
it,fill,4
it,survive,4
it,destroy,4
we,unleash,4
it,draw,4
that,buy,4
none,do,4
that,mention,4
company,have,4
judge,have,4
it,felt,4
images,have,4
that,place,4
it,surprise,4
idea,have,4
we,visualize,4
that,push,4
that,receive,4
that,explore,4
everyone,get,4
that,win,4
we,divide,4
machines,go,4
we,conquer,4
machines,have,4
thing,take,4
we,conduct,4
we,complete,4
someone,make,4
things,give,4
things,make,4
governments,do,4
someone,do,4
we,coat,4
sector,have,4
government,take,4
we,climb,4
government,do,4
this,cause,4
this,change,4
somebody,put,4
google,have,4
we,charge,4
google,do,4
god,give,4
we,cause,4
god,bless,4
they,wipe,4
they,weigh,4
they,violate,4
lot,look,4
we,dismiss,4
he,break,4
we,determine,4
he,believe,4
he,beat,4
he,answer,4
we,describe,4
he,agree,4
we,demonstrate,4
he,add,4
he,'s,4
they,shoot,4
groups,have,4
they,shrink,4
each,contain,4
they,sit,4
half,have,4
they,spread,4
they,stick,4
they,succeed,4
guys,put,4
guy,do,4
something,have,4
we,convince,4
somebody,come,4
this,include,4
most,spend,4
father,get,4
me,have,4
me,read,4
we,aim,4
me,remind,4
universe,create,4
we,activate,4
engineers,have,4
she,work,4
men,have,4
us,explore,4
us,find,4
us,go,4
trees,use,4
she,run,4
us,start,4
everybody,like,4
she,raise,4
mom,take,4
everybody,need,4
she,love,4
she,begin,4
she,blow,4
evolution,take,4
everything,start,4
we,answer,4
we,anticipate,4
man,say,4
selection,favor,4
this,need,4
this,put,4
most,say,4
this,raise,4
some,say,4
some,recognize,4
most,know,4
we,blow,4
some,make,4
this,solve,4
most,go,4
generations,have,4
me,explain,4
this,suppose,4
many,do,4
many,love,4
many,saw,4
those,see,4
many,use,4
society,go,4
we,attack,4
me,ask,4
me,bring,4
me,build,4
they,rebuild,4
they,pull,4
i,list,4
they,protect,4
we,limit,4
i,dial,4
i,deliver,4
i,define,4
everything,make,4
i,cook,4
i,control,4
we,land,4
i,climb,4
i,click,4
i,care,4
they,attack,4
i,browse,4
i,bet,4
i,beg,4
i,beat,4
i,bear,4
they,beat,4
i,bang,4
we,integrate,4
we,install,4
i,arrange,4
we,inherit,4
school,have,4
we,infect,4
students,get,4
students,have,4
i,drag,4
stuff,have,4
i,lift,4
kids,use,4
i,launch,4
i,knock,4
i,instal,4
i,impose,4
them,have,4
i,heat,4
we,overestimate,4
them,learn,4
i,graduate,4
nature,do,4
i,dream,4
i,gather,4
we,observe,4
i,flip,4
we,neglect,4
i,fix,4
i,fail,4
them,use,4
we,misinterpret,4
i,expose,4
theory,tell,4
i,embrace,4
they,blow,4
we,include,4
i,aim,4
he,move,4
life,start,4
he,summon,4
they,light,4
he,save,4
they,memorize,4
they,mention,4
he,push,4
he,publish,4
he,place,4
he,pay,4
he,order,4
he,mention,4
life,go,4
he,lead,4
he,introduce,4
he,intend,4
he,imagine,4
we,encounter,4
they,plant,4
he,felt,4
he,experience,4
he,enter,4
he,eat,4
he,drive,4
they,inhabit,4
they,ignore,4
they,capture,4
we,heal,4
they,care,4
they,catch,4
they,claim,4
they,combine,4
humans,do,4
they,contain,4
story,have,4
houses,have,4
stories,have,4
they,describe,4
leaders,have,4
they,exhibit,4
they,hop,4
we,harness,4
they,expand,4
science,have,4
they,extract,4
we,gon,4
him,get,4
